Company name in spend tracker;Company name in financial data
Abbott Laboratories;Abbott Laboratories (NYSE:ABT)
Advantest;Advantest Corporation (TSE:6857)
Agilent Technologies;Agilent Technologies, Inc. (NYSE:A)
Airbus Group;Airbus SE (ENXTPA:AIR)
Alps Alpine;Alps Alpine Co., Ltd. (TSE:6770)
Amazon;
AMETEK;AMETEK, Inc. (NYSE:AME)
Anritsu;Anritsu Corporation (TSE:6754)
Apple;Apple Inc. (NasdaqGS:AAPL)
Applied Materials;Applied Materials, Inc. (NasdaqGS:AMAT)
Aptiv PLC;Aptiv PLC (NYSE:APTV)
ASML;ASML Holding N.V. (ENXTAM:ASML)
AU Optronics;AUO Corporation (TWSE:2409)
BAE;BAE Systems plc (LSE:BA.)
Baxter International;
Boeing;The Boeing Company (NYSE:BA)
BorgWarner;BorgWarner Inc. (NYSE:BWA)
Bose;
Boston Scientific;Boston Scientific Corporation (NYSE:BSX)
Bruker;
Canon;Canon Inc. (TSE:7751)
Carrier;
Ciena Corporation;Ciena Corporation (NYSE:CIEN)
Cisco Systems;Cisco Systems, Inc. (NasdaqGS:CSCO)
CommScope;CommScope Holding Company, Inc. (NasdaqGS:COMM)
Continental;Continental Aktiengesellschaft (XTRA:CON)
Dassault Aviation;Dassault Aviation société anonyme (ENXTPA:AM)
Deere & Company;Deere & Company (NYSE:DE)
Dell Technologies;Dell Technologies Inc. (NYSE:DELL)
Delta Electronics;Delta Electronics, Inc. (TWSE:2308)
Denso;DENSO Corporation (TSE:6902)
Eaton;Eaton Corporation plc (NYSE:ETN)'
Elbit Systems;Elbit Systems Ltd. (TASE:ESLT)
Emerson Electric;Emerson Electric Co. (NYSE:EMR)
Endress & Hauser;Endress+Hauser AG
Ericsson;Telefonaktiebolaget LM Ericsson (publ) (OM:ERIC B)
Facebook (Meta);Meta Platforms, Inc. (NasdaqGS:META)
Fanuc Corporation;Fanuc Corporation (TSE:6954)
Fortive;Fortive Corporation (NYSE:FTV)
Fresenius Medical Care;Fresenius Medical Care AG & Co. KGaA (XTRA:FME)
Fujifilm;FUJIFILM Holdings Corporation (TSE:4901)
Fujitsu;Fujitsu Limited (TSE:6702)
Garmin;Garmin Ltd. (NYSE:GRMN)
General Dynamics;General Dynamics Corporation (NYSE:GD)
General Electric;General Electric Company (NYSE:GE)
Gree Electric Appliances;Gree Electric Appliances, Inc. of Zhuhai (SZSE:000651)
Harman International;
Hewlett-Packard;Hewlett Packard Enterprise Company (NYSE:HPE)
Hisense Group;
Hitachi;Hitachi, Ltd. (TSE:6501)
Honeywell;Honeywell International Inc. (NasdaqGS:HON)
Horiba;HORIBA, Ltd. (TSE:6856)
Huawei Technologies;
Hyundai Mobis;Hyundai Mobis Co.,Ltd (KOSE:A012330)
IBM;International Business Machines Corporation (NYSE:IBM)
Intel;Intel Corporation (NasdaqGS:INTC)
Intuitive Surgical;Intuitive Surgical, Inc. (NasdaqGS:ISRG)
Itron;Itron, Inc. (NasdaqGS:ITRI)
Johnson & Johnson;Johnson & Johnson (NYSE:JNJ)
Johnson Controls;Johnson Controls International plc (NYSE:JCI)
Keyence;
Keysight Technologies;Keysight Technologies, Inc. (NYSE:KEYS)
Konica Minolta;Konica Minolta
Kyocera;Kyocera Corporation (TSE:6971)
L3Harris Technologies;L3Harris Technologies, Inc. (NYSE:LHX)
LAM Research;Lam Research Corporation (NasdaqGS:LRCX)
Landis & Gyr;
Lear;Lear Corporation (NYSE:LEA)
Leonardo;Leonardo S.p.a. (BIT:LDO)
LG Electronics;LG Electronics Inc. (KOSE:A066570)
Lite-on Group;Lite-On Technology Corporation (TWSE:2301)
Lockheed Martin;Lockheed Martin Corporation (NYSE:LMT)
Magna International;Magna International Inc. (TSX:MG)
Mando;HL Mando Corporation (KOSE:A204320)
Medtronic;Medtronic plc (NYSE:MDT)
Mettler Toledo;Mettler-Toledo International Inc. (NYSE:MTD)
Microsoft;Microsoft Corporation (NasdaqGS:MSFT)
Mitsubishi Electric;
Motorola Solutions;Motorola Solutions, Inc. (NYSE:MSI)
National Instruments;National Instruments Corporation
NEC;NEC Corporation (TSE:6701)
Nihon Kohden;Nihon Kohden Corporation (TSE:6849)
Nintendo;Nintendo Co., Ltd. (TSE:7974)
Nokia Solutions and Networks;
Northrop Grumman;Northrop Grumman Corporation (NYSE:NOC)
Oki Electric;Oki Electric Industry Co., Ltd. (TSE:6703)
Olympus;Olympus Corporation (TSE:7733)
Omron;OMRON Corporation (TSE:6645)
Panasonic;Panasonic
Philips;Koninklijke Philips N.V. (ENXTAM:PHIA)
Pioneer;
Raytheon;
Roche;Roche Holding AG (SWX:ROG)
Rockwell Automation;Rockwell Automation, Inc. (NYSE:ROK)
Rohde & Schwarz;
Safran;
Samsung Electronics;Samsung Electronics Co., Ltd. (KOSE:A005930)
Schindler Holding AG;
Shimadzu;Shimadzu Corporation (TSE:7701)
Siemens;Siemens Aktiengesellschaft (XTRA:SIE)
SiriusXM;Sirius XM Holdings Inc. (NasdaqGS:SIRI)
Sonova;Sonova Holding AG (SWX:SOON)
Sony;Sony Group Corporation (TSE:6758)
Stanley Black & Decker;Stanley Black & Decker, Inc. (NYSE:SWK)
Stryker;
Teradyne;Teradyne, Inc. (NasdaqGS:TER)
Tesla;Tesla, Inc. (NasdaqGS:TSLA)
Thales Group;Thales S.A. (ENXTPA:HO)
Thermo Fisher Scientific;Thermo Fisher Scientific Inc. (NYSE:TMO)
Tokyo Electron;
Toshiba;
Valeo;Valeo SE (ENXTPA:FR)
Veoneer;
Visteon;Visteon Corporation (NasdaqGS:VC)
Waters;Waters Corporation (NYSE:WAT)
Xiaomi;Xiaomi Corporation (SEHK:1810)
Yaskawa Electric Corporation;
Yokogawa Electric;Yokogawa Electric Corporation (TSE:6841)
Zebra Technologies;Zebra Technologies Corporation (NasdaqGS:ZBRA)
ZF Group;
ZTE;
