,Device,Market,SubMarket,Spendings,DevSpends,MarketSpends,SubMarketSpends,Cogs,Cogs_1,Cogs_2,Revenue,Revenue_1,Revenue_2,Ebitda,Ebitda_1,Ebitda_2,Value
0,Amplifier/Comparator,Industrial,Manufacturing Equipment,63.254,33009.633,202444.977,52627.04,3186.31,2861.37,2547.6,4845.9,4300.2,3840.1,1261.6,1068.2,1007.2,1.349324152003866
1,Amplifier/Comparator,Industrial,Manufacturing Equipment,58.716,31492.062,190906.584,48480.544,3370.9,3186.31,2861.37,5158.6,4845.9,4300.2,1411.4,1261.6,1068.2,1.4911
2,Amplifier/Comparator,Industrial,Manufacturing Equipment,61.471,30177.791,197047.823,54473.792,2996.52,3370.9,3186.31,4540.0,5158.6,4845.9,1283.2,1411.4,1261.6,1.3627
3,Amplifier/Comparator,Industrial,Manufacturing Equipment,84.752,39871.494,245502.837,72134.75200000001,3633.9,2996.52,3370.9,5546.5,4540.0,5158.6,1600.8,1283.2,1411.4,2.164928079482224
4,Amplifier/Comparator,Industrial,Manufacturing Equipment,88.482,44223.186,272578.716,80606.75200000001,4005.26,3633.9,2996.52,6150.5,5546.5,4540.0,1820.1,1600.8,1283.2,2.6377999999999995
7,Amplifier/Comparator,Industrial,Military/Aerospace,206.914,33009.633,202444.977,30769.57,3186.31,2861.37,2547.6,4845.9,4300.2,3840.1,1261.6,1068.2,1007.2,0.2618046861295575
8,Amplifier/Comparator,Industrial,Military/Aerospace,192.99,31492.062,190906.584,28777.034000000003,3370.9,3186.31,2861.37,5158.6,4845.9,4300.2,1411.4,1261.6,1068.2,0.2710999999999999
9,Amplifier/Comparator,Industrial,Military/Aerospace,171.478,30177.791,197047.823,26489.814,2996.52,3370.9,3186.31,4540.0,5158.6,4845.9,1283.2,1411.4,1261.6,0.2492999999999998
10,Amplifier/Comparator,Industrial,Military/Aerospace,218.258,39871.494,245502.837,32240.494,3633.9,2996.52,3370.9,5546.5,4540.0,5158.6,1600.8,1283.2,1411.4,0.3132040623094979
11,Amplifier/Comparator,Industrial,Military/Aerospace,263.783,44223.186,272578.716,36918.492,4005.26,3633.9,2996.52,6150.5,5546.5,4540.0,1820.1,1600.8,1283.2,0.3919999999999997
14,Amplifier/Comparator,Industrial,Other Industrial,82.904,33009.633,202444.977,37981.129,3186.31,2861.37,2547.6,4845.9,4300.2,3840.1,1261.6,1068.2,1007.2,0.0555009934308265
15,Amplifier/Comparator,Industrial,Other Industrial,84.255,31492.062,190906.584,37117.218,3370.9,3186.31,2861.37,5158.6,4845.9,4300.2,1411.4,1261.6,1068.2,0.0602999999999999
16,Amplifier/Comparator,Industrial,Other Industrial,85.306,30177.791,197047.823,38652.791,2996.52,3370.9,3186.31,4540.0,5158.6,4845.9,1283.2,1411.4,1261.6,0.0613999999999999
17,Amplifier/Comparator,Industrial,Other Industrial,122.722,39871.494,245502.837,46251.69,3633.9,2996.52,3370.9,5546.5,4540.0,5158.6,1600.8,1283.2,1411.4,0.0853011063697321
18,Amplifier/Comparator,Industrial,Other Industrial,138.207,44223.186,272578.716,50064.362,4005.26,3633.9,2996.52,6150.5,5546.5,4540.0,1820.1,1600.8,1283.2,0.0970999999999999
21,Amplifier/Comparator,Industrial,Test & Measurement,378.575,33009.633,202444.977,50486.738,3186.31,2861.37,2547.6,4845.9,4300.2,3840.1,1261.6,1068.2,1007.2,3.9201701684357495
22,Amplifier/Comparator,Industrial,Test & Measurement,354.101,31492.062,190906.584,47319.213,3370.9,3186.31,2861.37,5158.6,4845.9,4300.2,1411.4,1261.6,1068.2,3.937100000000001
23,Amplifier/Comparator,Industrial,Test & Measurement,349.786,30177.791,197047.823,47360.161,2996.52,3370.9,3186.31,4540.0,5158.6,4845.9,1283.2,1411.4,1261.6,3.3763
24,Amplifier/Comparator,Industrial,Test & Measurement,466.615,39871.494,245502.837,60052.591,3633.9,2996.52,3370.9,5546.5,4540.0,5158.6,1600.8,1283.2,1411.4,5.146566751838545
25,Amplifier/Comparator,Industrial,Test & Measurement,519.7629999999999,44223.186,272578.716,67103.535,4005.26,3633.9,2996.52,6150.5,5546.5,4540.0,1820.1,1600.8,1283.2,5.9134
