,Device,Market,SubMarket,Spendings,DevSpends,MarketSpends,SubMarketSpends,Cogs,Cogs_1,Cogs_2,Revenue,Revenue_1,Revenue_2,Ebitda,Ebitda_1,Ebitda_2,Value
0,Amplifier/Comparator,Industrial,Power & Energy,200.53,172603.835,744408.882,59122.3,19059.0,17278.0,17270.0,27662.0,25196.0,24929.0,3227.0,2929.0,2987.0,7.466
1,Amplifier/Comparator,Industrial,Power & Energy,189.49,163733.518,694336.713,56477.645,19018.0,19059.0,17278.0,27978.0,27662.0,25196.0,3347.0,3227.0,2929.0,8.471900000000002
2,Amplifier/Comparator,Industrial,Power & Energy,195.081,163007.011,715358.27,58137.779,18123.0,19018.0,19059.0,26134.0,27978.0,27662.0,2668.0,3347.0,3227.0,8.661150278061584
3,Amplifier/Comparator,Industrial,Power & Energy,240.245,212172.612,898036.093,67325.066,19407.0,18123.0,19018.0,28945.0,26134.0,27978.0,4641.0,2668.0,3347.0,10.090255042728188
4,Amplifier/Comparator,Industrial,Power & Energy,257.635,242620.053,1010453.11,73245.44499999999,19712.0,19407.0,18123.0,29446.0,28945.0,26134.0,4477.0,4641.0,2668.0,10.040441975793808
7,Analog Application Specific IC,Industrial,Power & Energy,537.0840000000001,1336573.653,744408.882,59122.3,19059.0,17278.0,17270.0,27662.0,25196.0,24929.0,3227.0,2929.0,2987.0,19.892055245580657
8,Analog Application Specific IC,Industrial,Power & Energy,516.9069999999999,1263610.429,694336.713,56477.645,19018.0,19059.0,17278.0,27978.0,27662.0,25196.0,3347.0,3227.0,2929.0,23.2338
9,Analog Application Specific IC,Industrial,Power & Energy,525.744,1368492.046,715358.27,58137.779,18123.0,19018.0,19059.0,26134.0,27978.0,27662.0,2668.0,3347.0,3227.0,23.00435773287725
10,Analog Application Specific IC,Industrial,Power & Energy,578.8969999999999,1733267.025,898036.093,67325.066,19407.0,18123.0,19018.0,28945.0,26134.0,27978.0,4641.0,2668.0,3347.0,26.852953480966026
11,Analog Application Specific IC,Industrial,Power & Energy,646.449,1969197.965,1010453.11,73245.44499999999,19712.0,19407.0,18123.0,29446.0,28945.0,26134.0,4477.0,4641.0,2668.0,29.153249939814376
14,Data Converters,Industrial,Power & Energy,119.008,167391.241,744408.882,59122.3,19059.0,17278.0,17270.0,27662.0,25196.0,24929.0,3227.0,2929.0,2987.0,4.430769403299427
15,Data Converters,Industrial,Power & Energy,113.378,156523.044,694336.713,56477.645,19018.0,19059.0,17278.0,27978.0,27662.0,25196.0,3347.0,3227.0,2929.0,5.069599999999999
16,Data Converters,Industrial,Power & Energy,113.54,154996.351,715358.27,58137.779,18123.0,19018.0,19059.0,26134.0,27978.0,27662.0,2668.0,3347.0,3227.0,5.039932000177782
17,Data Converters,Industrial,Power & Energy,134.12,213571.909,898036.093,67325.066,19407.0,18123.0,19018.0,28945.0,26134.0,27978.0,4641.0,2668.0,3347.0,5.993074988105673
18,Data Converters,Industrial,Power & Energy,133.69,241131.863,1010453.11,73245.44499999999,19712.0,19407.0,18123.0,29446.0,28945.0,26134.0,4477.0,4641.0,2668.0,6.0863000000000005
21,Interface,Industrial,Power & Energy,523.576,155621.654,744408.882,59122.3,19059.0,17278.0,17270.0,27662.0,25196.0,24929.0,3227.0,2929.0,2987.0,19.4947
22,Interface,Industrial,Power & Energy,536.513,148452.552,694336.713,56477.645,19018.0,19059.0,17278.0,27978.0,27662.0,25196.0,3347.0,3227.0,2929.0,23.9891
23,Interface,Industrial,Power & Energy,569.0,158114.629,715358.27,58137.779,18123.0,19018.0,19059.0,26134.0,27978.0,27662.0,2668.0,3347.0,3227.0,25.28532132046352
24,Interface,Industrial,Power & Energy,659.0,194289.837,898036.093,67325.066,19407.0,18123.0,19018.0,28945.0,26134.0,27978.0,4641.0,2668.0,3347.0,29.46550000000001
25,Interface,Industrial,Power & Energy,711.0,217039.34,1010453.11,73245.44499999999,19712.0,19407.0,18123.0,29446.0,28945.0,26134.0,4477.0,4641.0,2668.0,32.6767
28,Voltage Regulator/Reference,Industrial,Power & Energy,658.502,426191.674,744408.882,59122.3,19059.0,17278.0,17270.0,27662.0,25196.0,24929.0,3227.0,2929.0,2987.0,24.518571670564164
29,Voltage Regulator/Reference,Industrial,Power & Energy,591.217,428609.532,694336.713,56477.645,19018.0,19059.0,17278.0,27978.0,27662.0,25196.0,3347.0,3227.0,2929.0,26.434628560657245
30,Voltage Regulator/Reference,Industrial,Power & Energy,601.386,459595.802,715358.27,58137.779,18123.0,19018.0,19059.0,26134.0,27978.0,27662.0,2668.0,3347.0,3227.0,26.703199999999995
31,Voltage Regulator/Reference,Industrial,Power & Energy,709.292,592814.876,898036.093,67325.066,19407.0,18123.0,19018.0,28945.0,26134.0,27978.0,4641.0,2668.0,3347.0,31.691900000000008
32,Voltage Regulator/Reference,Industrial,Power & Energy,776.931,651481.707,1010453.11,73245.44499999999,19712.0,19407.0,18123.0,29446.0,28945.0,26134.0,4477.0,4641.0,2668.0,36.0917
35,Amplifier/Comparator,Industrial,Military/Aerospace,206.914,172603.835,744408.882,47337.8,3186.31,2861.37,2547.6,4845.9,4300.2,3840.1,1261.6,1068.2,1007.2,0.2618046861295575
36,Amplifier/Comparator,Industrial,Military/Aerospace,192.99,163733.518,694336.713,44272.36,3370.9,3186.31,2861.37,5158.6,4845.9,4300.2,1411.4,1261.6,1068.2,0.2710999999999999
37,Amplifier/Comparator,Industrial,Military/Aerospace,171.478,163007.011,715358.27,40753.560000000005,2996.52,3370.9,3186.31,4540.0,5158.6,4845.9,1283.2,1411.4,1261.6,0.2492999999999998
38,Amplifier/Comparator,Industrial,Military/Aerospace,218.258,212172.612,898036.093,49600.76,3633.9,2996.52,3370.9,5546.5,4540.0,5158.6,1600.8,1283.2,1411.4,0.3132040623094979
39,Amplifier/Comparator,Industrial,Military/Aerospace,263.783,242620.053,1010453.11,56797.68,4005.26,3633.9,2996.52,6150.5,5546.5,4540.0,1820.1,1600.8,1283.2,0.3919999999999997
42,Amplifier/Comparator,Industrial,Other Industrial,631.361,172603.835,744408.882,537753.4349999999,3186.31,2861.37,2547.6,4845.9,4300.2,3840.1,1261.6,1068.2,1007.2,0.0555009934308265
43,Amplifier/Comparator,Industrial,Other Industrial,591.464,163733.518,694336.713,499930.428,3370.9,3186.31,2861.37,5158.6,4845.9,4300.2,1411.4,1261.6,1068.2,0.0602999999999999
44,Amplifier/Comparator,Industrial,Other Industrial,593.2479999999999,163007.011,715358.27,522714.498,2996.52,3370.9,3186.31,4540.0,5158.6,4845.9,1283.2,1411.4,1261.6,0.0613999999999999
45,Amplifier/Comparator,Industrial,Other Industrial,844.212,212172.612,898036.093,664308.393,3633.9,2996.52,3370.9,5546.5,4540.0,5158.6,1600.8,1283.2,1411.4,0.0853011063697321
46,Amplifier/Comparator,Industrial,Other Industrial,944.739,242620.053,1010453.11,749997.384,4005.26,3633.9,2996.52,6150.5,5546.5,4540.0,1820.1,1600.8,1283.2,0.0970999999999999
49,Amplifier/Comparator,Industrial,Test & Measurement,343.383,172603.835,744408.882,52859.079,3186.31,2861.37,2547.6,4845.9,4300.2,3840.1,1261.6,1068.2,1007.2,3.9201701684357495
50,Amplifier/Comparator,Industrial,Test & Measurement,321.595,163733.518,694336.713,49465.728,3370.9,3186.31,2861.37,5158.6,4845.9,4300.2,1411.4,1261.6,1068.2,3.937100000000001
51,Amplifier/Comparator,Industrial,Test & Measurement,316.085,163007.011,715358.27,49025.457,2996.52,3370.9,3186.31,4540.0,5158.6,4845.9,1283.2,1411.4,1261.6,3.3763
52,Amplifier/Comparator,Industrial,Test & Measurement,413.487,212172.612,898036.093,62333.544,3633.9,2996.52,3370.9,5546.5,4540.0,5158.6,1600.8,1283.2,1411.4,5.146566751838545
53,Amplifier/Comparator,Industrial,Test & Measurement,464.215,242620.053,1010453.11,70551.429,4005.26,3633.9,2996.52,6150.5,5546.5,4540.0,1820.1,1600.8,1283.2,5.9134
56,Analog Application Specific IC,Industrial,Military/Aerospace,369.284,1336573.653,744408.882,47337.8,3186.31,2861.37,2547.6,4845.9,4300.2,3840.1,1261.6,1068.2,1007.2,0.4655083580213662
57,Analog Application Specific IC,Industrial,Military/Aerospace,345.41,1263610.429,694336.713,44272.36,3370.9,3186.31,2861.37,5158.6,4845.9,4300.2,1411.4,1261.6,1068.2,0.4839999999999999
58,Analog Application Specific IC,Industrial,Military/Aerospace,332.377,1368492.046,715358.27,40753.560000000005,2996.52,3370.9,3186.31,4540.0,5158.6,4845.9,1283.2,1411.4,1261.6,0.4727999999999998
59,Analog Application Specific IC,Industrial,Military/Aerospace,386.444,1733267.025,898036.093,49600.76,3633.9,2996.52,3370.9,5546.5,4540.0,5158.6,1600.8,1283.2,1411.4,0.6075152227024995
60,Analog Application Specific IC,Industrial,Military/Aerospace,450.421,1969197.965,1010453.11,56797.68,4005.26,3633.9,2996.52,6150.5,5546.5,4540.0,1820.1,1600.8,1283.2,0.7666999999999999
63,Analog Application Specific IC,Industrial,Other Industrial,1852.706,1336573.653,744408.882,537753.4349999999,3186.31,2861.37,2547.6,4845.9,4300.2,3840.1,1261.6,1068.2,1007.2,0.284505108178472
