Market,Submarket,Device,Year,Region,Market size
Automotive Electronics Categories,ADAS,Amplifier/Comparator,2008,Americas,0.424
Automotive Electronics Categories,ADAS,Amplifier/Comparator,2008,Asia & Oceania (excl. Japan),0.246
Automotive Electronics Categories,ADAS,Amplifier/Comparator,2008,EMEA,0.678
Automotive Electronics Categories,ADAS,Amplifier/Comparator,2008,Japan,0.421
Automotive Electronics Categories,ADAS,Amplifier/Comparator,2008,Worldwide,1.769
Automotive Electronics Categories,ADAS,Amplifier/Comparator,2009,Americas,0.293
Automotive Electronics Categories,ADAS,Amplifier/Comparator,2009,Asia & Oceania (excl. Japan),0.27
Automotive Electronics Categories,ADAS,Amplifier/Comparator,2009,EMEA,0.515
Automotive Electronics Categories,ADAS,Amplifier/Comparator,2009,Japan,0.312
Automotive Electronics Categories,ADAS,Amplifier/Comparator,2009,Worldwide,1.39
Automotive Electronics Categories,ADAS,Amplifier/Comparator,2010,Americas,0.697
Automotive Electronics Categories,ADAS,Amplifier/Comparator,2010,Asia & Oceania (excl. Japan),0.748
Automotive Electronics Categories,ADAS,Amplifier/Comparator,2010,EMEA,1.212
Automotive Electronics Categories,ADAS,Amplifier/Comparator,2010,Japan,0.744
Automotive Electronics Categories,ADAS,Amplifier/Comparator,2010,Worldwide,3.401
Automotive Electronics Categories,ADAS,Amplifier/Comparator,2011,Americas,1.279
Automotive Electronics Categories,ADAS,Amplifier/Comparator,2011,Asia & Oceania (excl. Japan),1.079
Automotive Electronics Categories,ADAS,Amplifier/Comparator,2011,EMEA,2.251
Automotive Electronics Categories,ADAS,Amplifier/Comparator,2011,Japan,1.302
Automotive Electronics Categories,ADAS,Amplifier/Comparator,2011,Worldwide,5.911
Automotive Electronics Categories,ADAS,Amplifier/Comparator,2012,Americas,1.762
Automotive Electronics Categories,ADAS,Amplifier/Comparator,2012,Asia & Oceania (excl. Japan),1.261
Automotive Electronics Categories,ADAS,Amplifier/Comparator,2012,EMEA,2.64
Automotive Electronics Categories,ADAS,Amplifier/Comparator,2012,Japan,1.587
Automotive Electronics Categories,ADAS,Amplifier/Comparator,2012,Worldwide,7.25
Automotive Electronics Categories,ADAS,Amplifier/Comparator,2013,Americas,2.177
Automotive Electronics Categories,ADAS,Amplifier/Comparator,2013,Asia & Oceania (excl. Japan),1.583
Automotive Electronics Categories,ADAS,Amplifier/Comparator,2013,EMEA,3.288
Automotive Electronics Categories,ADAS,Amplifier/Comparator,2013,Japan,1.922
Automotive Electronics Categories,ADAS,Amplifier/Comparator,2013,Worldwide,8.97
Automotive Electronics Categories,ADAS,Amplifier/Comparator,2014,Americas,0.87
