Company Name,CY2016 Total Revenue ,CY2017 Total Revenue ,CY2018 Total Revenue ,CY2019 Total Revenue ,CY2020 Total Revenue ,CY2021 Total Revenue ,CY2022 Total Revenue 
ABB Ltd (SWX:ABBN),24929,25196,27662,27978,26134,28945,29446
"Cisco Systems, Inc. (NasdaqGS:CSCO)",48570,48096,50825,51550,48026,51549,53161
Intel Corporation (NasdaqGS:INTC),59387,62761,70848,71965,77867,79024,63054
Kyocera Corporation (TSE:6971),9347.7,10361.2,10983.6,10715,10024.7,11888.1,13407.4
Microsoft Corporation (NasdaqGS:MSFT),88899,102273,118459,134249,153284,184903,204094
Oracle Corporation (NYSE:ORCL),37236,38791,39445,39583,39403,41399,46073
"Roper Technologies, Inc. (NasdaqGS:ROP)",3789.9,4607.5,5191.2,4727.7,4022.4,4833.8,5371.8
Sony Group Corporation (TSE:6758),50191.8,56681.6,56570.3,57629.4,56776.4,66005,71104.3
Thales S.A. (ENXTPA:HO),15742.8,16105.2,16768.6,19461.7,16257,17125.3,18581.5
Apple Inc. (NasdaqGS:AAPL),218118,239176,261612,267683,294135,378323,387537
ASUSTeK Computer Inc. (TWSE:2357),14412.4,11930.6,10935.4,10847.2,12744.5,16525.3,16585.6
BorgWarner Inc. (NYSE:BWA),9071,9799,10530,10168,10165,14838,15801
Ciena Corporation (NYSE:CIEN),2649,2826.3,3226.7,3626.5,3456.4,3708,3844.7
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",4923.6,4560.6,4568.5,8345.1,8435.9,8586.7,9228.1
Alphabet Inc. (NasdaqGS:GOOGL),90272,110855,136819,161857,182527,257637,282836
"Intuitive Surgical, Inc. (NasdaqGS:ISRG)",2706.5,3138.2,3724.2,4478.5,4358.4,5710.1,6222.2
"Itron, Inc. (NasdaqGS:ITRI)",2013.2,2018.2,2376.1,2502.5,2173.4,1981.6,1795.6
"Juniper Networks, Inc. (NYSE:JNPR)",4990.1,5027.2,4647.5,4445.4,4445.1,4735.4,5301.2
Lam Research Corporation (NasdaqGS:LRCX),6375,9557.9,10871.4,9549.4,11928.8,16523.9,19047.7
Lear Corporation (NYSE:LEA),18557.6,20467,21148.5,19810.3,17045.5,19263.1,20891.5
"Mattel, Inc. (NasdaqGS:MAT)",5453.2,4881.5,4514.8,4504.6,4588.4,5457.7,5434.7
Medtronic plc (NYSE:MDT),29361,29725,30555,31062,27926,31785,30772
Mettler-Toledo International Inc. (NYSE:MTD),2508.3,2725.1,2935.6,3008.7,3085.2,3717.9,3919.7
"AMETEK, Inc. (NYSE:AME)",3840.1,4300.2,4845.9,5158.6,4540,5546.5,6150.5
NEC Corporation (TSE:6701),17788.9,18958.3,19398.4,20376.3,19773.6,20319.8,21260.8
"NetApp, Inc. (NasdaqGS:NTAP)",5418,5756,6198,5603,5590,6193,6461
Textron Inc. (NYSE:TXT),13788,14198,13972,13630,11651,12382,12869
Westinghouse Air Brake Technologies Corporation (NYSE:WAB),2931.2,3881.7,4363.5,8200,7556,7822,8362
Waters Corporation (NYSE:WAT),2167.4,2309.1,2419.9,2406.6,2365.4,2785.9,2972
"Samsung Electronics Co., Ltd. (KOSE:A005930)",148724.5,176506.2,179597.6,169746.9,174466.6,205997.7,222667.7
Vantiva S.A. (ENXTPA:VANTI),4894.8,4498.1,4217.9,4019,3179.3,2379.7,2936
Sirius XM Holdings Inc. (NasdaqGS:SIRI),5017.2,5425,5771,7794,8040,8696,9003
"Teradyne, Inc. (NasdaqGS:TER)",1753.3,2136.6,2100.8,2295,3121.5,3702.9,3155
Thermo Fisher Scientific Inc. (NYSE:TMO),18274,20918,24358,25542,32218,39211,44915
Northrop Grumman Corporation (NYSE:NOC),24706,26004,30095,33841,36799,35667,36602
"Motorola Solutions, Inc. (NYSE:MSI)",6038,6380,7343,7887,7414,8171,9112
Xerox Holdings Corporation (NasdaqGS:XRX),10771,9991,9662,9066,7022,7038,7107
"Elitegroup Computer Systems Co.,Ltd. (TWSE:2331)",924.6,924.6,981.7,873.5,802.6,986.1,968.4
International Business Machines Corporation (NYSE:IBM),79919,79139,79591,57714,55179,57351,60530
Spectris plc (LSE:SXS),1634.4,1852.7,1948.2,1981.9,1622.7,1412.4,1612
Atos SE (ENXTPA:ATO),12837.3,12687.5,11261.8,12255.9,11825.5,11463.8,11994.7
Johnson & Johnson (NYSE:JNJ),71890,76450,81581,82059,82584,93775,94943
"Hitachi, Ltd. (TSE:6501)",62197.2,62154.6,63225.8,60319.1,56051.2,67357.3,73560.6
"Agilent Technologies, Inc. (NYSE:A)",4241,4616,4987,5236,5530,6445,6930
RTX Corporation (NYSE:RTX),57244,59837,34701,45349,56587,64388,67074
NCR Voyix Corporation (NYSE:VYX),6543,6516,6405,6915,6207,7156,7844
Dover Corporation (NYSE:DOV),6043.2,6820.9,6992.1,7136.4,6683.8,7907.1,8508.1
Eaton Corporation plc (NYSE:ETN),19747,20404,21609,21390,17858,19628,20752
General Electric Company (NYSE:GE),119468,99279,97012,90221,75833,74196,76555
"L3Harris Technologies, Inc. (NYSE:LHX)",5952,5976,6445,18526,18194,17814,17062
Koninklijke Philips N.V. (ENXTAM:PHIA),18426.2,18804.9,19165.5,18135.4,18310.9,18144.9,18854.6
Canon Inc. (TSE:7751),22691.7,27218.2,26363.8,23971.3,21082.3,23438,26894
Belden Inc. (NYSE:BDC),2356.7,2087.2,2165.7,2131.3,1752.2,2301.3,2606.5
Visteon Corporation (NasdaqGS:VC),3161,3146,2984,2945,2548,2773,3756
Abbott Laboratories (NYSE:ABT),20853,27390,30578,31904,34608,43075,43653
"Applied Materials, Inc. (NasdaqGS:AMAT)",11846,15464,16253,15017,18202,24172,26253
VOXX International Corporation (NasdaqGS:VOXX),559.3,509.8,461.6,401.3,502.2,634.6,561.4
Danaher Corporation (NYSE:DHR),16882.4,15518.8,17049,17911,22284,29453,31471
Dell Technologies Inc. (NYSE:DELL),62164,79040,90621,84815,86670,101197,102301
Deere & Company (NYSE:DE),26756.9,30360,38388.5,38880,36995,44440,55646
Flowserve Corporation (NYSE:FLS),3990.5,3660.8,3835.7,3939.7,3728.1,3541.1,3615.1
"Revvity, Inc. (NYSE:RVTY)",2115.5,2257,2778,2883.7,2663.2,3827.8,3311.8
Emerson Electric Co. (NYSE:EMR),14401,15864,17739,18376,16795,17231,19846
