,Market,SubMarket
0,Industrial,Manufacturing Equipment
7,Industrial,Power & Energy
77,Industrial,Military/Aerospace
84,Industrial,Other Industrial
91,Industrial,Test & Measurement
210,Consumer,STB
217,Wired Communications,Carrier
224,Wired Communications,Enterprise/SOHO
385,Computer Peripherals & Storage,Other Peripherals
455,Industrial,Medical
497,Computer Peripherals & Storage,Other Storage
504,Computer Platforms,Data Center Servers
511,Computer Platforms,Desktop PCs
518,Computer Platforms,Notebook PCs
525,Computer Platforms,Other Computer Products
532,Computer Platforms,Tablet PCs
539,Consumer,Other Consumer
546,Wireless Communications,Handset
553,Wireless Communications,Media Tablets
840,Automotive,Other Auto & Aftermarket
945,Computer Peripherals & Storage,Smart Cards
1120,Automotive,Auto ADAS
1127,Automotive,Auto Infotainment
1134,Automotive,Auto Powertrain
1344,Consumer,Connected Consumer
1526,Wireless Communications,Infrastructure
1533,Wireless Communications,Other Wireless
1981,Consumer,Audio
2499,Consumer,Appliance
2513,Consumer,TV
3199,Wired Communications,Other Wired
4165,Wired Communications,DC Network & Threat Mitigation
6615,Computer Peripherals & Storage,Flash Cards/Drives
20370,Consumer,Video Games
23744,Computer Peripherals & Storage,HDD
