,Company Name from Spend Tracker,Company Tag from S&P Global
0,ABB,ABB Ltd (SWX:ABBN)
1,Abbott Laboratories,Abbott Laboratories (NYSE:ABT)
2,Acer,Acer Incorporated (TWSE:2353)
3,Adient,Adient plc (NYSE:ADNT)
4,Advantest,Advantest Corporation (TSE:6857)
5,Agfa-Gevaert,Agfa-Gevaert NV (ENXTBR:AGFB)
6,Agilent Technologies,"Agilent Technologies, Inc. (NYSE:A)"
7,Airbus Group,Airbus SE (ENXTPA:AIR)
8,Aisin Corporation,Aisin Corporation (TSE:7259)
9,Alphabet,Alphabet Inc. (NasdaqGS:GOOGL)
10,Alps Alpine,"Alps Alpine Co., Ltd. (TSE:6770)"
11,Amazon,"Amazon.com, Inc. (NasdaqGS:AMZN)"
12,AMETEK,"AMETEK, Inc. (NYSE:AME)"
13,Anritsu,Anritsu Corporation (TSE:6754)
14,Apple,Apple Inc. (NasdaqGS:AAPL)
15,Applied Materials,"Applied Materials, Inc. (NasdaqGS:AMAT)"
16,Aptiv PLC,Aptiv PLC (NYSE:APTV)
17,Arcelik,Arçelik Anonim Sirketi (IBSE:ARCLK)
18,ARRIS Group,ARRIS International Limited
19,ASML,ASML Holding N.V. (ENXTAM:ASML)
20,Asustek Computer,ASUSTeK Computer Inc. (TWSE:2357)
21,Atos,Atos SE (ENXTPA:ATO)
22,AU Optronics,AUO Corporation (TWSE:2409)
23,AutoLiv,"Autoliv, Inc. (NYSE:ALV)"
24,Avaya,Avaya Holdings Corp.
25,BAE,BAE Systems plc (LSE:BA.)
26,Baxter International,Baxter International Inc. (NYSE:BAX)
27,Bayer,Bayer Aktiengesellschaft (XTRA:BAYN)
28,Belden,Belden Inc. (NYSE:BDC)
29,Bharat Heavy Electricals Limited,Bharat Heavy Electricals Limited (BSE:500103)
30,Blackberry,BlackBerry Limited (TSX:BB)
31,Boeing,The Boeing Company (NYSE:BA)
32,BorgWarner,BorgWarner Inc. (NYSE:BWA)
33,Bosch Group,Robert Bosch GmbH
34,Bose,Bose Corporation
35,Boston Scientific,Boston Scientific Corporation (NYSE:BSX)
36,Brocade,Brocade Communications Systems LLC
37,Brose,"Brose Fahrzeugteile GmbH & Co. Kommanditgesellschaft, Coburg"
38,Brother Industries,"Brother Industries, Ltd. (TSE:6448)"
39,Bruker,Bruker Corporation (NasdaqGS:BRKR)
40,Calsonic Kansei,
41,Canon,Canon Inc. (TSE:7751)
42,Carrier,Carrier Global Corporation (NYSE:CARR)
43,Casio Computer,"Casio Computer Co.,Ltd. (TSE:6952)"
44,Ciena Corporation,Ciena Corporation (NYSE:CIEN)
45,Cisco Systems,"Cisco Systems, Inc. (NasdaqGS:CSCO)"
46,Coherent (formerly II-VI),Coherent Corp. (NYSE:COHR)
47,Comau,Comau S.p.A.
48,CommScope,"CommScope Holding Company, Inc. (NasdaqGS:COMM)"
49,Continental,Continental Aktiengesellschaft (XTRA:CON)
50,Coolpad,Coolpad Group Limited (OTCPK:CHWT.F)
51,Daikin Industries,"Daikin Industries,Ltd. (TSE:6367)"
52,Danaher,Danaher Corporation (NYSE:DHR)
53,Danfoss Power Solutions,Danfoss Power Solutions Inc.
54,Dassault Aviation,Dassault Aviation société anonyme (ENXTPA:AM)
55,Deere & Company,Deere & Company (NYSE:DE)
56,Dell Technologies,Dell Technologies Inc. (NYSE:DELL)
57,Delphi Technologies,Delphi Technologies PLC
58,Delta Electronics,"Delta Electronics, Inc. (TWSE:2308)"
59,Denso,DENSO Corporation (TSE:6902)
60,Diebold Nixdorf,"Diebold Nixdorf, Incorporated (NYSE:DBD)"
61,Diehl Group,Diehl Verwaltungs-Stiftung
62,DJI,"DJI, Inc."
63,Dover Corporation,Dover Corporation (NYSE:DOV)
64,Dyson,Dyson Group plc
65,Eaton,Eaton Corporation plc (NYSE:ETN)
66,Elbit Systems,Elbit Systems Ltd. (TASE:ESLT)
67,Electrolux,
68,Elitegroup Computer Systems,"Elitegroup Computer Systems Co.,Ltd. (TWSE:2331)"
69,Embraer,Embraer S.A. (BOVESPA:EMBR3)
70,Emerson Electric,Emerson Electric Co. (NYSE:EMR)
71,Endress & Hauser,Endress+Hauser AG
72,Ericsson,Telefonaktiebolaget LM Ericsson (publ) (OM:ERIC B)
73,Facebook (Meta),"Meta Platforms, Inc. (NasdaqGS:META)"
74,Fanuc Corporation,Fanuc Corporation (TSE:6954)
75,Faurecia,
76,Finisar,Finisar Corporation
77,Fitbit,Fitbit LLC
78,Flowserve,Flowserve Corporation (NYSE:FLS)
79,Fortive,Fortive Corporation (NYSE:FTV)
80,Fresenius Medical Care,Fresenius Medical Care AG & Co. KGaA (XTRA:FME)
81,Fuji Electric,"Fuji Electric Co., Ltd. (TSE:6504)"
82,Fujifilm,FUJIFILM Holdings Corporation (TSE:4901)
83,Fujitsu,Fujitsu Limited (TSE:6702)
84,Funai Electric,"Funai Electric Co., Ltd."
85,Garmin,Garmin Ltd. (NYSE:GRMN)
86,GEA Group AG,GEA Group Aktiengesellschaft (XTRA:G1A)
87,Gemalto,Gemalto N.V.
88,General Dynamics,General Dynamics Corporation (NYSE:GD)
89,General Electric,General Electric Company (NYSE:GE)
90,Giesecke+Devrient,Giesecke+Devrient Currency Technology Gb Ltd
91,GN Store Nord,GN Store Nord A/S (CPSE:GN)
92,Gree Electric Appliances,"Gree Electric Appliances, Inc. of Zhuhai (SZSE:000651)"
93,Groupe SEB,SEB SA (ENXTPA:SK)
94,Haier Group,Haier Group Corporation
95,Hannstar Display,HannStar Display Corporation (TWSE:6116)
96,Hanwha Vision,Hanwha Corporation (KOSE:A000880)
97,Harman International,"Harman International Industries, Incorporated"
98,Harris,Harris Companies Inc.
99,Heidelberg,Heidelberg Materials AG (XTRA:HEI)
100,Hella,HELLA GmbH & Co. KGaA (XTRA:HLE)
