Company,Year,Value,2023,2024,2025,2026,2027
AB Electrolux (publ) (OM:ELUX B),2016.0,8590.38,,,,,
AB Electrolux (publ) (OM:ELUX B),2017.0,8536.77,,,,,
AB Electrolux (publ) (OM:ELUX B),2018.0,8504.85,,,,,
AB Electrolux (publ) (OM:ELUX B),2019.0,8718.04,,,,,
AB Electrolux (publ) (OM:ELUX B),2020.0,8399.33,,,,,
AB Electrolux (publ) (OM:ELUX B),2021.0,9112.78,,,,,
AB Electrolux (publ) (OM:ELUX B),2022.0,10505.06,,,,,
AB Electrolux (publ) (OM:ELUX B),,,9879.678571428603,10122.197857142866,10364.717142857127,10607.23642857139,10849.755714285653
ABB Ltd (SWX:ABBN),2016.0,17270.0,,,,,
ABB Ltd (SWX:ABBN),2017.0,17278.0,,,,,
ABB Ltd (SWX:ABBN),2018.0,19059.0,,,,,
ABB Ltd (SWX:ABBN),2019.0,19018.0,,,,,
ABB Ltd (SWX:ABBN),2020.0,18123.0,,,,,
ABB Ltd (SWX:ABBN),2021.0,19407.0,,,,,
ABB Ltd (SWX:ABBN),2022.0,19712.0,,,,,
ABB Ltd (SWX:ABBN),,,20073.571428570223,20453.857142855915,20834.14285714161,21214.428571427303,21594.714285713
"AMETEK, Inc. (NYSE:AME)",2016.0,2547.6,,,,,
"AMETEK, Inc. (NYSE:AME)",2017.0,2861.37,,,,,
"AMETEK, Inc. (NYSE:AME)",2018.0,3186.31,,,,,
"AMETEK, Inc. (NYSE:AME)",2019.0,3370.9,,,,,
"AMETEK, Inc. (NYSE:AME)",2020.0,2996.52,,,,,
"AMETEK, Inc. (NYSE:AME)",2021.0,3633.9,,,,,
"AMETEK, Inc. (NYSE:AME)",2022.0,4005.26,,,,,
"AMETEK, Inc. (NYSE:AME)",,,4047.1585714285434,4251.738928571389,4456.319285714235,4660.899642857081,4865.479999999927
ASML Holding N.V. (ENXTAM:ASML),2016.0,3957.35,,,,,
ASML Holding N.V. (ENXTAM:ASML),2017.0,5244.03,,,,,
ASML Holding N.V. (ENXTAM:ASML),2018.0,6275.65,,,,,
ASML Holding N.V. (ENXTAM:ASML),2019.0,6939.2,,,,,
ASML Holding N.V. (ENXTAM:ASML),2020.0,7619.42,,,,,
ASML Holding N.V. (ENXTAM:ASML),2021.0,9338.99,,,,,
ASML Holding N.V. (ENXTAM:ASML),2022.0,11112.25,,,,,
ASML Holding N.V. (ENXTAM:ASML),,,11640.754285713954,12747.839642856741,13854.924999999528,14962.010357142315,16069.095714285102
ASUSTeK Computer Inc. (TWSE:2357),2016.0,12372.6,,,,,
ASUSTeK Computer Inc. (TWSE:2357),2017.0,10239.58,,,,,
ASUSTeK Computer Inc. (TWSE:2357),2018.0,9333.25,,,,,
ASUSTeK Computer Inc. (TWSE:2357),2019.0,9199.48,,,,,
ASUSTeK Computer Inc. (TWSE:2357),2020.0,10487.85,,,,,
ASUSTeK Computer Inc. (TWSE:2357),2021.0,13124.62,,,,,
ASUSTeK Computer Inc. (TWSE:2357),2022.0,14302.29,,,,,
ASUSTeK Computer Inc. (TWSE:2357),,,13110.488571429027,13564.551071428948,14018.61357142887,14472.67607142879,14926.738571428712
AUO Corporation (TWSE:2409),2016.0,9099.27,,,,,
AUO Corporation (TWSE:2409),2017.0,8647.97,,,,,
AUO Corporation (TWSE:2409),2018.0,8632.78,,,,,
AUO Corporation (TWSE:2409),2019.0,8288.11,,,,,
AUO Corporation (TWSE:2409),2020.0,7665.86,,,,,
AUO Corporation (TWSE:2409),2021.0,8645.83,,,,,
AUO Corporation (TWSE:2409),2022.0,7574.29,,,,,
AUO Corporation (TWSE:2409),,,7572.56714285755,7374.490714286131,7176.414285714713,6978.337857143294,6780.2614285718755
Abbott Laboratories (NYSE:ABT),2016.0,9085.0,,,,,
Abbott Laboratories (NYSE:ABT),2017.0,11490.0,,,,,
Abbott Laboratories (NYSE:ABT),2018.0,12696.0,,,,,
Abbott Laboratories (NYSE:ABT),2019.0,13231.0,,,,,
Abbott Laboratories (NYSE:ABT),2020.0,14855.0,,,,,
Abbott Laboratories (NYSE:ABT),2021.0,18066.0,,,,,
Abbott Laboratories (NYSE:ABT),2022.0,19074.0,,,,,
Abbott Laboratories (NYSE:ABT),,,20539.285714285303,22156.357142856632,23773.42857142796,25390.499999999294,27007.571428570624
Acer Incorporated (TWSE:2353),2016.0,6471.2,,,,,
Acer Incorporated (TWSE:2353),2017.0,6545.39,,,,,
Acer Incorporated (TWSE:2353),2018.0,6685.27,,,,,
Acer Incorporated (TWSE:2353),2019.0,6472.96,,,,,
Acer Incorporated (TWSE:2353),2020.0,7628.89,,,,,
Acer Incorporated (TWSE:2353),2021.0,8704.42,,,,,
Acer Incorporated (TWSE:2353),2022.0,7588.31,,,,,
Acer Incorporated (TWSE:2353),,,8387.064285713846,8694.671785713821,9002.279285713797,9309.886785713774,9617.49428571375
Adient plc (NYSE:ADNT),2016.0,14992.0,,,,,
Adient plc (NYSE:ADNT),2017.0,15077.0,,,,,
Adient plc (NYSE:ADNT),2018.0,16464.0,,,,,
Adient plc (NYSE:ADNT),2019.0,15420.0,,,,,
Adient plc (NYSE:ADNT),2020.0,11948.0,,,,,
Adient plc (NYSE:ADNT),2021.0,12692.0,,,,,
Adient plc (NYSE:ADNT),2022.0,13507.0,,,,,
Adient plc (NYSE:ADNT),,,12337.000000000682,11846.25000000073,11355.500000000777,10864.750000000824,10374.000000000871
Advantest Corporation (TSE:6857),2016.0,414.78,,,,,
Advantest Corporation (TSE:6857),2017.0,627.29,,,,,
Advantest Corporation (TSE:6857),2018.0,864.76,,,,,
Advantest Corporation (TSE:6857),2019.0,787.46,,,,,
Advantest Corporation (TSE:6857),2020.0,897.67,,,,,
Advantest Corporation (TSE:6857),2021.0,1157.34,,,,,
Advantest Corporation (TSE:6857),2022.0,1495.09,,,,,
Advantest Corporation (TSE:6857),,,1511.189999999979,1665.973571428541,1820.757142857103,1975.540714285665,2130.3242857142272
Agfa-Gevaert NV (ENXTBR:AGFB),2016.0,1782.49,,,,,
Agfa-Gevaert NV (ENXTBR:AGFB),2017.0,1728.38,,,,,
Agfa-Gevaert NV (ENXTBR:AGFB),2018.0,1572.41,,,,,
Agfa-Gevaert NV (ENXTBR:AGFB),2019.0,1470.56,,,,,
Agfa-Gevaert NV (ENXTBR:AGFB),2020.0,1289.12,,,,,
Agfa-Gevaert NV (ENXTBR:AGFB),2021.0,1340.05,,,,,
Agfa-Gevaert NV (ENXTBR:AGFB),2022.0,1410.08,,,,,
Agfa-Gevaert NV (ENXTBR:AGFB),,,1202.2728571430068,1124.5164285715823,1046.760000000158,969.0035714287336,891.2471428573092
"Agilent Technologies, Inc. (NYSE:A)",2016.0,2007.0,,,,,
"Agilent Technologies, Inc. (NYSE:A)",2017.0,2111.0,,,,,
"Agilent Technologies, Inc. (NYSE:A)",2018.0,2270.0,,,,,
"Agilent Technologies, Inc. (NYSE:A)",2019.0,2415.0,,,,,
"Agilent Technologies, Inc. (NYSE:A)",2020.0,2578.0,,,,,
"Agilent Technologies, Inc. (NYSE:A)",2021.0,2966.0,,,,,
"Agilent Technologies, Inc. (NYSE:A)",2022.0,3150.0,,,,,
"Agilent Technologies, Inc. (NYSE:A)",,,3277.714285714302,3472.2500000000027,3666.785714285703,3861.321428571403,4055.8571428571036
Airbus SE (ENXTPA:AIR),2016.0,65057.82,,,,,
Airbus SE (ENXTPA:AIR),2017.0,55330.5,,,,,
Airbus SE (ENXTPA:AIR),2018.0,58093.37,,,,,
Airbus SE (ENXTPA:AIR),2019.0,63631.83,,,,,
Airbus SE (ENXTPA:AIR),2020.0,46949.6,,,,,
Airbus SE (ENXTPA:AIR),2021.0,45111.94,,,,,
Airbus SE (ENXTPA:AIR),2022.0,51238.2,,,,,
Airbus SE (ENXTPA:AIR),,,44624.787142855865,42016.22464285598,39407.6621428561,36799.09964285622,34190.53714285634
Aisin Corporation (TSE:7259),2016.0,19840.67,,,,,
Aisin Corporation (TSE:7259),2017.0,22072.9,,,,,
Aisin Corporation (TSE:7259),2018.0,23594.84,,,,,
Aisin Corporation (TSE:7259),2019.0,23294.26,,,,,
Aisin Corporation (TSE:7259),2020.0,20789.11,,,,,
Aisin Corporation (TSE:7259),2021.0,22739.76,,,,,
Aisin Corporation (TSE:7259),2022.0,25977.99,,,,,
Aisin Corporation (TSE:7259),,,25035.639999998115,25640.638214283812,26245.63642856951,26850.634642855202,27455.6328571409
Alphabet Inc. (NasdaqGS:GOOGL),2016.0,35138.0,,,,,
Alphabet Inc. (NasdaqGS:GOOGL),2017.0,45583.0,,,,,
Alphabet Inc. (NasdaqGS:GOOGL),2018.0,59549.0,,,,,
Alphabet Inc. (NasdaqGS:GOOGL),2019.0,71896.0,,,,,
Alphabet Inc. (NasdaqGS:GOOGL),2020.0,84732.0,,,,,
Alphabet Inc. (NasdaqGS:GOOGL),2021.0,110939.0,,,,,
Alphabet Inc. (NasdaqGS:GOOGL),2022.0,126203.0,,,,,
Alphabet Inc. (NasdaqGS:GOOGL),,,137589.99999999977,152914.64285714156,168239.28571428338,183563.92857142517,198888.57142856697
"Alps Alpine Co., Ltd. (TSE:6770)",2016.0,3992.03,,,,,
"Alps Alpine Co., Ltd. (TSE:6770)",2017.0,4417.39,,,,,
"Alps Alpine Co., Ltd. (TSE:6770)",2018.0,4560.85,,,,,
"Alps Alpine Co., Ltd. (TSE:6770)",2019.0,4683.28,,,,,
"Alps Alpine Co., Ltd. (TSE:6770)",2020.0,4047.48,,,,,
"Alps Alpine Co., Ltd. (TSE:6770)",2021.0,4307.69,,,,,
"Alps Alpine Co., Ltd. (TSE:6770)",2022.0,4960.23,,,,,
"Alps Alpine Co., Ltd. (TSE:6770)",,,4734.397142857178,4811.962500000034,4889.527857142891,4967.093214285747,5044.658571428604
"Amazon.com, Inc. (NasdaqGS:AMZN)",2016.0,88265.0,,,,,
"Amazon.com, Inc. (NasdaqGS:AMZN)",2017.0,111934.0,,,,,
"Amazon.com, Inc. (NasdaqGS:AMZN)",2018.0,139156.0,,,,,
"Amazon.com, Inc. (NasdaqGS:AMZN)",2019.0,165536.0,,,,,
"Amazon.com, Inc. (NasdaqGS:AMZN)",2020.0,233307.0,,,,,
"Amazon.com, Inc. (NasdaqGS:AMZN)",2021.0,272344.0,,,,,
"Amazon.com, Inc. (NasdaqGS:AMZN)",2022.0,288831.0,,,,,
"Amazon.com, Inc. (NasdaqGS:AMZN)",,,330863.1428571268,367172.74999998143,403482.3571428361,439791.9642856907,476101.57142854534
Anritsu Corporation (TSE:6754),2016.0,298.93,,,,,
Anritsu Corporation (TSE:6754),2017.0,298.95,,,,,
Anritsu Corporation (TSE:6754),2018.0,314.29,,,,,
Anritsu Corporation (TSE:6754),2019.0,330.13,,,,,
Anritsu Corporation (TSE:6754),2020.0,327.46,,,,,
Anritsu Corporation (TSE:6754),2021.0,334.56,,,,,
Anritsu Corporation (TSE:6754),2022.0,371.15,,,,,
Anritsu Corporation (TSE:6754),,,368.07428571427255,378.82607142855744,389.57785714284233,400.3296428571273,411.0814285714122
Apple Inc. (NasdaqGS:AAPL),2016.0,134102.0,,,,,
Apple Inc. (NasdaqGS:AAPL),2017.0,147254.0,,,,,
Apple Inc. (NasdaqGS:AAPL),2018.0,161654.0,,,,,
Apple Inc. (NasdaqGS:AAPL),2019.0,166105.0,,,,,
Apple Inc. (NasdaqGS:AAPL),2020.0,180068.0,,,,,
Apple Inc. (NasdaqGS:AAPL),2021.0,215572.0,,,,,
Apple Inc. (NasdaqGS:AAPL),2022.0,220666.0,,,,,
Apple Inc. (NasdaqGS:AAPL),,,234308.99999999985,249121.21428571315,263933.4285714264,278745.6428571397,293557.857142853
"Applied Materials, Inc. (NasdaqGS:AMAT)",2016.0,6807.0,,,,,
"Applied Materials, Inc. (NasdaqGS:AMAT)",2017.0,8437.0,,,,,
"Applied Materials, Inc. (NasdaqGS:AMAT)",2018.0,9011.0,,,,,
"Applied Materials, Inc. (NasdaqGS:AMAT)",2019.0,8438.0,,,,,
"Applied Materials, Inc. (NasdaqGS:AMAT)",2020.0,9984.0,,,,,
"Applied Materials, Inc. (NasdaqGS:AMAT)",2021.0,12648.0,,,,,
"Applied Materials, Inc. (NasdaqGS:AMAT)",2022.0,14074.0,,,,,
"Applied Materials, Inc. (NasdaqGS:AMAT)",,,14370.714285714477,15484.85714285726,16599.000000000044,17713.142857142826,18827.28571428561
Aptiv PLC (NYSE:APTV),2016.0,9526.0,,,,,
Aptiv PLC (NYSE:APTV),2017.0,10261.0,,,,,
Aptiv PLC (NYSE:APTV),2018.0,11702.0,,,,,
Aptiv PLC (NYSE:APTV),2019.0,11708.0,,,,,
Aptiv PLC (NYSE:APTV),2020.0,11116.0,,,,,
Aptiv PLC (NYSE:APTV),2021.0,13180.0,,,,,
Aptiv PLC (NYSE:APTV),2022.0,14843.0,,,,,
Aptiv PLC (NYSE:APTV),,,14791.285714286174,15548.535714286125,16305.785714286078,17063.03571428603,17820.285714285983
Arçelik Anonim Sirketi (IBSE:ARCLK),2016.0,381.49,,,,,
Arçelik Anonim Sirketi (IBSE:ARCLK),2017.0,507.8,,,,,
Arçelik Anonim Sirketi (IBSE:ARCLK),2018.0,650.39,,,,,
Arçelik Anonim Sirketi (IBSE:ARCLK),2019.0,768.45,,,,,
Arçelik Anonim Sirketi (IBSE:ARCLK),2020.0,957.3,,,,,
Arçelik Anonim Sirketi (IBSE:ARCLK),2021.0,1687.31,,,,,
Arçelik Anonim Sirketi (IBSE:ARCLK),2022.0,3339.62,,,,,
Arçelik Anonim Sirketi (IBSE:ARCLK),,,2833.2399999998293,3245.39428571408,3657.548571428331,4069.7028571425817,4481.857142856833
Atos SE (ENXTPA:ATO),2016.0,11153.63,,,,,
Atos SE (ENXTPA:ATO),2017.0,10750.13,,,,,
Atos SE (ENXTPA:ATO),2018.0,9938.46,,,,,
Atos SE (ENXTPA:ATO),2019.0,11021.75,,,,,
Atos SE (ENXTPA:ATO),2020.0,10789.39,,,,,
Atos SE (ENXTPA:ATO),2021.0,11092.84,,,,,
Atos SE (ENXTPA:ATO),2022.0,11660.48,,,,,
Atos SE (ENXTPA:ATO),,,11351.940000000426,11461.115000000409,11570.29000000039,11679.465000000371,11788.640000000354
"Autoliv, Inc. (NYSE:ALV)",2016.0,6293.6,,,,,
"Autoliv, Inc. (NYSE:ALV)",2017.0,6457.1,,,,,
"Autoliv, Inc. (NYSE:ALV)",2018.0,6966.9,,,,,
"Autoliv, Inc. (NYSE:ALV)",2019.0,6963.0,,,,,
"Autoliv, Inc. (NYSE:ALV)",2020.0,6201.0,,,,,
"Autoliv, Inc. (NYSE:ALV)",2021.0,6719.0,,,,,
"Autoliv, Inc. (NYSE:ALV)",2022.0,7446.0,,,,,
"Autoliv, Inc. (NYSE:ALV)",,,7180.242857143178,7295.067857143173,7409.892857143168,7524.717857143163,7639.542857143158
BAE Systems plc (LSE:BA.),2016.0,8757.0,,,,,
BAE Systems plc (LSE:BA.),2017.0,7388.56,,,,,
BAE Systems plc (LSE:BA.),2018.0,7191.86,,,,,
BAE Systems plc (LSE:BA.),2019.0,7894.9,,,,,
BAE Systems plc (LSE:BA.),2020.0,8334.45,,,,,
BAE Systems plc (LSE:BA.),2021.0,8563.94,,,,,
BAE Systems plc (LSE:BA.),2022.0,8736.36,,,,,
BAE Systems plc (LSE:BA.),,,8614.071428571773,8736.622500000316,8859.173571428859,8981.724642857404,9104.275714285946
Baxter International Inc. (NYSE:BAX),2016.0,5857.0,,,,,
Baxter International Inc. (NYSE:BAX),2017.0,5999.0,,,,,
Baxter International Inc. (NYSE:BAX),2018.0,6288.0,,,,,
Baxter International Inc. (NYSE:BAX),2019.0,6541.0,,,,,
Baxter International Inc. (NYSE:BAX),2020.0,7038.0,,,,,
Baxter International Inc. (NYSE:BAX),2021.0,7534.0,,,,,
Baxter International Inc. (NYSE:BAX),2022.0,9082.0,,,,,
Baxter International Inc. (NYSE:BAX),,,8833.428571428329,9315.392857142577,9797.357142856823,10279.321428571071,10761.285714285319
Bayer Aktiengesellschaft (XTRA:BAYN),2016.0,12036.07,,,,,
Bayer Aktiengesellschaft (XTRA:BAYN),2017.0,11903.45,,,,,
Bayer Aktiengesellschaft (XTRA:BAYN),2018.0,13866.31,,,,,
Bayer Aktiengesellschaft (XTRA:BAYN),2019.0,17424.93,,,,,
Bayer Aktiengesellschaft (XTRA:BAYN),2020.0,16686.47,,,,,
Bayer Aktiengesellschaft (XTRA:BAYN),2021.0,18084.88,,,,,
Bayer Aktiengesellschaft (XTRA:BAYN),2022.0,20038.2,,,,,
Bayer Aktiengesellschaft (XTRA:BAYN),,,21318.53142857203,22718.15321428622,24117.77500000041,25517.396785714598,26917.018571428784
Belden Inc. (NYSE:BDC),2016.0,1361.15,,,,,
Belden Inc. (NYSE:BDC),2017.0,1245.45,,,,,
Belden Inc. (NYSE:BDC),2018.0,1317.83,,,,,
Belden Inc. (NYSE:BDC),2019.0,1333.76,,,,,
Belden Inc. (NYSE:BDC),2020.0,1175.86,,,,,
Belden Inc. (NYSE:BDC),2021.0,1518.62,,,,,
Belden Inc. (NYSE:BDC),2022.0,1680.14,,,,,
Belden Inc. (NYSE:BDC),,,1570.592857142881,1619.2121428571609,1667.831428571441,1716.450714285721,1765.0700000000008
BlackBerry Limited (TSX:BB),2016.0,809.0,,,,,
BlackBerry Limited (TSX:BB),2017.0,306.0,,,,,
