Company,Year,Ebitda
ABB Ltd (SWX:ABBN),2016,2987
ABB Ltd (SWX:ABBN),2017,2929
ABB Ltd (SWX:ABBN),2018,3227
ABB Ltd (SWX:ABBN),2019,3347
ABB Ltd (SWX:ABBN),2020,2668
ABB Ltd (SWX:ABBN),2021,4641
ABB Ltd (SWX:ABBN),2022,4477
ABB Ltd (SWX:ABBN),2023,5807.68
ABB Ltd (SWX:ABBN),2024,5943.65
ABB Ltd (SWX:ABBN),2025,6271.24
ABB Ltd (SWX:ABBN),2026,6997
ABB Ltd (SWX:ABBN),2027,7210
"Amazon.com, Inc. (NasdaqGS:AMZN)",2016,12302
"Amazon.com, Inc. (NasdaqGS:AMZN)",2017,15584
"Amazon.com, Inc. (NasdaqGS:AMZN)",2018,27762
"Amazon.com, Inc. (NasdaqGS:AMZN)",2019,36330
"Amazon.com, Inc. (NasdaqGS:AMZN)",2020,48079
"Amazon.com, Inc. (NasdaqGS:AMZN)",2021,59312
"Amazon.com, Inc. (NasdaqGS:AMZN)",2022,54169
"Amazon.com, Inc. (NasdaqGS:AMZN)",2023,105145.67
"Amazon.com, Inc. (NasdaqGS:AMZN)",2024,124000.76
"Amazon.com, Inc. (NasdaqGS:AMZN)",2025,144358.23
"Amazon.com, Inc. (NasdaqGS:AMZN)",2026,174558
"Amazon.com, Inc. (NasdaqGS:AMZN)",2027,102897.9999999965
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2016,14721
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2017,14460
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2018,15307
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2019,16205
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2020,15236
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2021,15990
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2022,15811
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2023,20483.8
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2024,21102.33
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2025,21682.51
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2026,21951.15
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2027,17178.285714285907
Intel Corporation (NasdaqGS:INTC),2016,22795
Intel Corporation (NasdaqGS:INTC),2017,26563
Intel Corporation (NasdaqGS:INTC),2018,32329
Intel Corporation (NasdaqGS:INTC),2019,33254
Intel Corporation (NasdaqGS:INTC),2020,36115
Intel Corporation (NasdaqGS:INTC),2021,33874
Intel Corporation (NasdaqGS:INTC),2022,15371
Intel Corporation (NasdaqGS:INTC),2023,11438.91
Intel Corporation (NasdaqGS:INTC),2024,17852.44
Intel Corporation (NasdaqGS:INTC),2025,22840.69
Intel Corporation (NasdaqGS:INTC),2026,27543
Intel Corporation (NasdaqGS:INTC),2027,31629
Kyocera Corporation (TSE:6971),2016,1230.6
Kyocera Corporation (TSE:6971),2017,1534
Kyocera Corporation (TSE:6971),2018,805.7
Kyocera Corporation (TSE:6971),2019,1423.8
Kyocera Corporation (TSE:6971),2020,1049.6
Kyocera Corporation (TSE:6971),2021,1742.2
Kyocera Corporation (TSE:6971),2022,1789.4
Kyocera Corporation (TSE:6971),2023,1686.95
Kyocera Corporation (TSE:6971),2024,1758.2
Kyocera Corporation (TSE:6971),2025,2033.8
Kyocera Corporation (TSE:6971),2026,2271.67
Kyocera Corporation (TSE:6971),2027,2601.7
Microsoft Corporation (NasdaqGS:MSFT),2016,30984
Microsoft Corporation (NasdaqGS:MSFT),2017,42242
Microsoft Corporation (NasdaqGS:MSFT),2018,49581
Microsoft Corporation (NasdaqGS:MSFT),2019,61265
Microsoft Corporation (NasdaqGS:MSFT),2020,71873
Microsoft Corporation (NasdaqGS:MSFT),2021,90830
Microsoft Corporation (NasdaqGS:MSFT),2022,97945
Microsoft Corporation (NasdaqGS:MSFT),2023,101404.7
Microsoft Corporation (NasdaqGS:MSFT),2024,120374.75
Microsoft Corporation (NasdaqGS:MSFT),2025,138445.33
Microsoft Corporation (NasdaqGS:MSFT),2026,163896.8
Microsoft Corporation (NasdaqGS:MSFT),2027,155060.28571428073
Oracle Corporation (NYSE:ORCL),2016,15462
Oracle Corporation (NYSE:ORCL),2017,16092
Oracle Corporation (NYSE:ORCL),2018,15424
Oracle Corporation (NYSE:ORCL),2019,16174
Oracle Corporation (NYSE:ORCL),2020,17242
Oracle Corporation (NYSE:ORCL),2021,18408
Oracle Corporation (NYSE:ORCL),2022,18375
Oracle Corporation (NYSE:ORCL),2023,18909.428571430708
Oracle Corporation (NYSE:ORCL),2024,26338.32
Oracle Corporation (NYSE:ORCL),2025,29702.09
Oracle Corporation (NYSE:ORCL),2026,33115.52
Oracle Corporation (NYSE:ORCL),2027,21079.285714287693
"Roper Technologies, Inc. (NasdaqGS:ROP)",2016,1303.6
"Roper Technologies, Inc. (NasdaqGS:ROP)",2017,1555.2
"Roper Technologies, Inc. (NasdaqGS:ROP)",2018,1763.4
"Roper Technologies, Inc. (NasdaqGS:ROP)",2019,1737.1
"Roper Technologies, Inc. (NasdaqGS:ROP)",2020,1574.5
"Roper Technologies, Inc. (NasdaqGS:ROP)",2021,1951.5
"Roper Technologies, Inc. (NasdaqGS:ROP)",2022,2174.6
