,CompanySpend
0,7.466
1,8.471900000000002
2,8.661150278061584
3,10.090255042728188
4,10.040441975793808
7,19.892055245580657
8,23.2338
9,23.00435773287725
10,26.852953480966026
11,29.153249939814376
14,4.430769403299427
15,5.069599999999999
16,5.039932000177782
17,5.993074988105673
18,6.0863000000000005
21,19.4947
22,23.9891
23,25.285321320463517
24,29.46550000000001
25,32.6767
28,24.518571670564164
29,26.434628560657245
30,26.703199999999995
31,31.691900000000008
32,36.0917
35,0.2618046861295575
36,0.2710999999999999
37,0.2492999999999998
38,0.3132040623094979
39,0.3919999999999997
42,0.0555009934308265
43,0.0602999999999999
44,0.0613999999999999
45,0.0853011063697321
46,0.0970999999999999
49,3.9201701684357495
50,3.937100000000001
51,3.3763
52,5.146566751838545
53,5.9134
56,0.4655083580213662
57,0.4839999999999999
58,0.4727999999999998
59,0.6075152227024995
60,0.7666999999999999
63,0.284505108178472
64,0.3054999999999999
65,0.3221999999999999
66,0.421810569441834
67,0.5171999999999999
70,2.085037436035551
71,2.1073999999999997
72,1.825
73,2.859071640669047
74,3.6728
77,0.3563999999999998
78,0.3725049395976711
79,0.3450052629973147
80,0.4723
81,0.5952958149965553
84,0.0261999999999997
85,0.0276003659943507
86,0.0282004301928238
87,0.0671999999999999
88,0.0804994340789898
91,5.218
92,5.2472695813608095
93,4.478268315230657
94,7.381800000000001
95,9.338534348944789
98,0.1420999999999997
99,0.1469999999999998
100,0.1379952749435045
101,0.1711956206993577
102,0.2183956837091641
105,0.2046999999999998
106,0.2170999999999997
107,0.2286921694172428
108,0.291892533190085
109,0.3598928872112096
112,1.6825
113,1.6798999999999995
114,1.4637498801616102
115,2.1858440846187297
116,2.7757451412083243
119,0.2695999999999999
120,0.2791055409966249
121,0.2658057253634893
122,0.3269999999999998
123,0.420995151445353
126,0.3321999999999998
127,0.3521069902719872
128,0.3873083424878835
129,0.4943999999999998
130,0.6200928584590579
133,2.5555000000000003
134,2.577051161405598
135,2.267748846526656
136,3.3859999999999997
137,4.329050142807786
140,6.844200000000001
141,6.44514032774743
142,7.230800000000001
143,12.455155973700888
144,13.1212
147,3.6402687543989143
148,3.449828394817852
149,3.908373299448691
150,6.9192
151,8.1496
154,9.1102
155,8.589760824523266
156,9.5906
157,17.864644369778254
158,20.721300000000003
161,2.9376495128939832
162,2.7500454275142068
163,3.1349999999999993
164,5.2902000000000005
165,6.1592
168,4.461848083368358
169,4.2185558774617995
170,4.8566
171,8.19454352710584
172,9.6058
175,0.6967
176,1.0436
177,1.0353
178,1.0881
179,0.4904
182,0.5851
183,0.4068
184,0.3629
185,0.5968
186,0.9666
189,26.8572
190,29.9769
191,32.2695
192,37.9353
193,16.0047
196,2.9986
197,2.0596
198,1.905
199,2.9523
200,5.151
203,1.0212
204,1.6353
205,1.4892
206,1.3948
207,0.5463
210,0.276
211,0.1861
212,0.1669
213,0.4703
214,0.8013
217,1.1167
218,1.1833
219,1.4574
220,1.8597
221,0.9561
224,2.157
225,1.4641
226,1.352
227,2.0426
228,3.5841
231,9.3533
232,14.5201
233,14.5022
234,19.9915
235,7.6671
238,3.5013
239,2.374
240,2.2898
241,3.4603
242,6.1753
245,1.3112
246,1.3826
247,1.6642
248,2.8252
249,3.2331
252,2.7616
253,3.0393
254,3.5216999999999996
255,5.6416
256,6.4258999999999995
259,1.7099
260,1.8325
261,2.1857
262,4.1249
263,4.637
266,0.7226
267,0.7688999999999999
268,0.9291
269,1.3317
270,1.5094
273,1.6655
274,1.7831
275,2.1324
276,3.1421
277,3.6943
280,0.0761999999999998
281,0.1280999999999997
282,0.1359096345514949
283,0.1216196169088505
284,0.0764649659863943
287,0.0383999999999998
288,0.0201999999999999
289,0.0144903654485046
290,0.0296803830911491
291,0.0412350340136052
294,0.0237999999999998
295,0.0130005580596693
296,0.0133999999999998
297,0.0191006399088715
298,0.0199009038059767
301,0.0763999999999999
302,0.09360401802962
303,0.0728999999999999
304,0.0832027874564458
305,0.0632028703787809
308,0.4009999999999998
309,0.4751203949345352
310,0.7703999999999998
311,1.148738484990619
312,1.004045599055318
315,0.0445999999999996
316,0.054802352436145
317,0.0462999999999998
318,0.0383012831680511
319,0.0308013988554817
322,1.2906999999999995
323,1.69307267654003
324,1.5340999999999996
325,1.695556804476012
326,1.0839492279044418
329,0.031
330,0.0262999999999999
331,0.0318
332,0.0309
333,0.0335
336,0.2688057813594952
337,0.1694131129476582
338,0.2535944485842024
339,0.3412925413615404
340,0.3736999999999999
343,0.0164942186405044
344,0.0118868870523413
345,0.0149055514157971
346,0.0275074586384591
347,0.0243999999999997
350,2.935999999999999
351,3.680099999999999
352,4.2379999999999995
353,4.2416
354,2.4925375522986344
357,1.7853
358,0.6916999999999998
359,0.7666
360,1.4488
361,1.498862447701365
364,0.9061036221542642
365,0.3927999999999997
366,0.4914019162003546
367,0.6866983465403033
368,0.6527973198999888
371,0.8558034210789309
372,0.7525999999999999
373,0.6894026882957357
374,0.9299977607142598
375,0.5438977669938785
378,4.041216154784034
379,3.3102
380,5.8972229959640465
381,9.886376195188666
382,8.591364727617593
385,1.055504219383982
386,0.9396
387,0.8852034518122793
388,0.9583976923317704
389,0.5975975465260925
392,18.15697258259879
393,16.9889
394,17.68136894772758
395,29.069530005225
396,13.971542638962449
399,0.0642
400,0.0463
401,0.0532
402,0.1049
403,0.0809999999999999
406,2.079425795746503
407,1.3869999999999998
408,2.3241
409,3.2854999999999994
410,3.3622000000000005
413,0.7228742042534968
414,0.5646999999999999
415,0.7868999999999998
416,1.3203
417,1.1186999999999998
420,0.1116841628959274
421,0.2007046533713199
422,0.1955028315946347
423,0.1560925816023737
424,0.0851
427,0.0210158371040722
428,0.0097953466286797
429,0.0056971684053648
430,0.0125074183976258
431,0.0149999999999997
434,0.0203999999999998
435,0.0088999999999998
436,0.0088999999999997
437,0.0127993911719936
438,0.0104991872435944
441,0.2874999999999998
442,0.2930999999999999
443,0.4372999999999999
444,0.5766725694444443
445,0.4448655623500268
448,0.0926999999999999
449,0.0992999999999997
450,0.0797999999999998
451,0.0562973221080667
452,0.0393969502283457
455,1.5284999999999995
456,1.7717999999999996
457,1.6010999999999995
458,1.4565307172754944
459,0.7970383001780321
462,0.0704
463,0.0547
464,0.0618
465,0.0653
466,0.0578
469,0.134388588390501
470,0.0731999999999997
471,0.1098999999999998
472,0.1280999999999998
473,0.1176878267363702
476,0.0173114116094985
477,0.0107999999999998
478,0.0136999999999998
479,0.0215999999999998
480,0.0163121732636294
483,0.1221
484,0.1452999999999999
485,0.1913
486,0.2078999999999999
487,0.149
490,0.0531065669057629
491,0.0296931281813974
492,0.0404999999999998
493,0.0789999999999997
494,0.0814075664621675
497,0.0827102275537965
498,0.0849803331790835
499,0.0832999999999999
500,0.0885999999999998
501,0.0519048243167874
504,0.1546191194657431
505,0.1553640444238776
506,0.2993999999999997
507,0.5287
508,0.4881453708867816
511,0.0376046500123668
512,0.04079055992596
513,0.0426999999999999
