Company Name,CY2016 Cost Of Goods Sold ,CY2017 Cost Of Goods Sold ,CY2018 Cost Of Goods Sold ,CY2019 Cost Of Goods Sold ,CY2020 Cost Of Goods Sold ,CY2021 Cost Of Goods Sold ,CY2022 Cost Of Goods Sold 
ABB Ltd (SWX:ABBN),17270,17278,19059,19018,18123,19407,19712
"Cisco Systems, Inc. (NasdaqGS:CSCO)",17663,18121,19225,18575,17206,18918,20242
Intel Corporation (NasdaqGS:INTC),22767,23663,27111,29825,34255,35209,36188
Kyocera Corporation (TSE:6971),6945.44,7520.28,8239.57,7702.25,7392.65,8551.53,9614.2
Microsoft Corporation (NasdaqGS:MSFT),33446,35447,41339,43346,48510,57642,64984
Oracle Corporation (NYSE:ORCL),7349,7785,8127,8044,7752,8297,11011
"Roper Technologies, Inc. (NasdaqGS:ROP)",1457.5,1742.7,1911.7,1587.6,1194.1,1426.2,1619
Sony Group Corporation (TSE:6758),31627.19,34361.46,34337.33,32444.22,32458.49,38195.12,44606.35
Thales S.A. (ENXTPA:HO),11925.75,12179.48,12553.46,14677.21,12470.86,12859.76,13814.6
Apple Inc. (NasdaqGS:AAPL),134102,147254,161654,166105,180068,215572,220666
ASUSTeK Computer Inc. (TWSE:2357),12367.64,10235.47,9329.51,9195.79,10483.64,13119.36,14296.55
BorgWarner Inc. (NYSE:BWA),7142.3,7684,8300,8067,8255,11983,12700
Ciena Corporation (NYSE:CIEN),1465.04,1582.56,1860.41,2037.26,1816.13,1966.67,2212.64
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",2894.37,2855.1,2935.2,5722.2,5688.1,5902.4,6424
Alphabet Inc. (NasdaqGS:GOOGL),35138,45583,59549,71896,84732,110939,126203
"Intuitive Surgical, Inc. (NasdaqGS:ISRG)",813.6,936.2,1120.1,1368.3,1497.2,1751.6,2026.2
"Itron, Inc. (NasdaqGS:ITRI)",1350.65,1341.45,1645.8,1750.15,1571.18,1408.4,1273.38
"Juniper Networks, Inc. (NYSE:JNPR)",1885.6,1955.1,1906.3,1828.6,1871.4,1995.3,2342.9
Lam Research Corporation (NasdaqGS:LRCX),3541.99,5162.58,5858.05,5232.86,6371.49,8873.9,10417.34
Lear Corporation (NYSE:LEA),16378.9,18101.6,18765.1,17899,15809.7,17787.9,19346.2
"Mattel, Inc. (NasdaqGS:MAT)",2906.46,3056.92,2716.13,2508.65,2339.67,2828.19,2942.65
Medtronic plc (NYSE:MDT),9170,9053,8997,9493,9961,10025,10240
Mettler-Toledo International Inc. (NYSE:MTD),1070.53,1149.3,1251.21,1267.44,1284.15,1546.38,1611.67
"AMETEK, Inc. (NYSE:AME)",2547.6,2861.37,3186.31,3370.9,2996.52,3633.9,4005.26
NEC Corporation (TSE:6701),12649.82,13600.47,13875.89,14551.94,14181.28,14422.13,15163.43
"NetApp, Inc. (NasdaqGS:NTAP)",2123,2163,2250,1895,1869,2027,2238
Textron Inc. (NYSE:TXT),11337,11827,11594,11406,10039,10297,10800
Westinghouse Air Brake Technologies Corporation (NYSE:WAB),2006.95,2804.4,3129.6,5922,5374,5400,5779
Waters Corporation (NYSE:WAT),891.45,947.07,992.56,1010.7,1006.69,1156.53,1248.18
"Samsung Electronics Co., Ltd. (KOSE:A005930)",88614.13,95254.38,97541.05,108478.15,106451.17,122602.89,140012.51
Vantiva S.A. (ENXTPA:VANTI),4161.82,3861.45,3723.96,3569.54,2886.3,2088.84,2611.32
Sirius XM Holdings Inc. (NasdaqGS:SIRI),2460.24,2555,2710,3854,3941,4293,4482
"Teradyne, Inc. (NasdaqGS:TER)",794.64,915.15,880.41,955.14,1335.73,1496.23,1287.89
Thermo Fisher Scientific Inc. (NYSE:TMO),9825,11382,13489,14214,16214,19573,25917
Northrop Grumman Corporation (NYSE:NOC),18797,20074,23275,26582,29321,28399,29128
"Motorola Solutions, Inc. (NYSE:MSI)",3126,3347,3804,3939,3777,4123,4718
Xerox Holdings Corporation (NasdaqGS:XRX),6338,5787,5661,5285,4349,4544,4681
"Elitegroup Computer Systems Co.,Ltd. (TWSE:2331)",793.51,830.96,903.98,777.92,718.27,903.89,868.47
International Business Machines Corporation (NYSE:IBM),40358,40986,41522,25476,23737,25331,27436
Spectris plc (LSE:SXS),699.87,799.21,846.21,871.71,728.41,592.03,700.23
Atos SE (ENXTPA:ATO),11118.24,10716.02,9906.93,10986.78,10755.16,11057.64,11623.48
Johnson & Johnson (NYSE:JNJ),21789,25439,27091,27556,28427,29855,30989
"Hitachi, Ltd. (TSE:6501)",46136.91,45780.3,46147.95,44348.16,41479.74,50793.89,55354.81
"Agilent Technologies, Inc. (NYSE:A)",2007,2111,2270,2415,2578,2966,3150
RTX Corporation (NYSE:RTX),41471,44201,27465,34417,48056,51897,53406
NCR Voyix Corporation (NYSE:VYX),4721,4650,4628,4994,4683,5224,5949
Dover Corporation (NYSE:DOV),3810.34,4275.18,4415.64,4506.55,4190.85,4924.4,5437.68
Eaton Corporation plc (NYSE:ETN),13392,13756,14511,14338,12408,13293,13865
General Electric Company (NYSE:GE),83021,71495,66127,64466,57301,53502,55285
"L3Harris Technologies, Inc. (NYSE:LHX)",3831,3858,4095,13168,12886,12438,12135
Koninklijke Philips N.V. (ENXTAM:PHIA),10003.17,10068.75,10006.35,9729.24,9942.89,10505.55,11245.9
Canon Inc. (TSE:7751),11537.62,13939.03,14118.63,13230.59,11903.77,12578.82,14700.55
Belden Inc. (NYSE:BDC),1361.15,1245.45,1317.83,1333.76,1175.86,1518.62,1680.14
Visteon Corporation (NasdaqGS:VC),2705,2655,2573,2621,2303,2519,3388
Abbott Laboratories (NYSE:ABT),9085,11490,12696,13231,14855,18066,19074
"Applied Materials, Inc. (NasdaqGS:AMAT)",6807,8437,9011,8438,9984,12648,14074
VOXX International Corporation (NasdaqGS:VOXX),404.43,373.7,331.72,296.27,357.45,466.61,417.85
Danaher Corporation (NYSE:DHR),7522.4,6947.5,7544,7927,9241,11397,12522
Dell Technologies Inc. (NYSE:DELL),48472,58479,65355,64176,66530,79306,79615
Deere & Company (NYSE:DE),18177.3,20758.6,26298.5,26393,24177,30064,36396
Flowserve Corporation (NYSE:FLS),2753.69,2571.88,2644.83,2650.35,2611.37,2474.49,2611.61
"Revvity, Inc. (NYSE:RVTY)",1100.76,1183.23,1437.06,1466.03,923.28,1358.62,1271.1
Emerson Electric Co. (NYSE:EMR),8188,9127,10170,10563,9822,9976,11453
Telefonaktiebolaget LM Ericsson (publ) (OM:ERIC B),13820.21,13876.92,12462.96,12951.18,12576.1,11969.91,14409.99
General Dynamics Corporation (NYSE:GD),24896,24731,29536,32363,31600,32061,32785
"SPX Technologies, Inc. (NYSE:SPXC)",1096.5,1095.6,1102.6,721.6,732.6,787.7,937
ITT Inc. (NYSE:ITT),1644.5,1765.4,1857.9,1936.3,1695.6,1865.5,2064.8
Trane Technologies plc (NYSE:TT),9298.1,9764.8,8557.3,9048.2,8651.3,9666.8,11026.9
KLA Corporation (NasdaqGS:KLAC),1208.21,1391.32,1535.57,2317.59,2502,3203.66,4120.67
Johnson Controls International plc (NYSE:JCI),16604,19580,15865,16309,14746,15967,16962
Lockheed Martin Corporation (NYSE:LMT),41809,43589,46392,51445,56717,57947,57597
Magna International Inc. (TSX:MG),31123,30895,34725,34022,28207,31097,33188
Moog Inc. (NYSE:MOG.A),1710.52,1791.99,1960.2,2152.24,2091.58,2113.17,2238.29
Parker-Hannifin Corporation (NYSE:PH),8574.45,10082.14,10816.92,10599.25,9941.4,10608.04,12330.56
Pitney Bowes Inc. (NYSE:PBI),1174.09,1281.68,1745.9,1877.9,2356.5,2504.5,2405.76
"Rockwell Automation, Inc. (NYSE:ROK)",3438.1,3725.5,3798.3,3872.7,3671.8,4289.1,4717.6
Schlumberger Limited (NYSE:SLB),24110,26298,28478,28720,21000,19271,22930
"Stanley Black & Decker, Inc. (NYSE:SWK)",7325.5,8141.5,9065.6,8651.5,8372.9,10150.1,12535.9
