Company Name,CY2016 EBITDA ,CY2017 EBITDA ,CY2018 EBITDA ,CY2019 EBITDA ,CY2020 EBITDA ,CY2021 EBITDA ,CY2022 EBITDA 
ABB Ltd (SWX:ABBN),2987,2929,3227,3347,2668,4641,4477
"Cisco Systems, Inc. (NasdaqGS:CSCO)",14721,14460,15307,16205,15236,15990,15811
Intel Corporation (NasdaqGS:INTC),22795,26563,32329,33254,36115,33874,15371
Kyocera Corporation (TSE:6971),1224.3,1526.1,801.6,1416.5,1044.3,1733.3,1780.3
Microsoft Corporation (NasdaqGS:MSFT),30984,42242,49581,61265,71873,90830,97945
Oracle Corporation (NYSE:ORCL),15462,16092,15424,16174,17242,18408,18375
"Roper Technologies, Inc. (NasdaqGS:ROP)",1303.6,1555.2,1763.4,1737.1,1574.5,1951.5,2174.6
Sony Group Corporation (TSE:6758),3092.8,8286.9,7765.1,7547.1,10444.3,9282.8,10887.8
Thales S.A. (ENXTPA:HO),1675.4,1690.3,1989,2318.9,1828.7,2168.9,2456.1
Apple Inc. (NasdaqGS:AAPL),69750,74174,79523,78121,85159,128218,125288
ASUSTeK Computer Inc. (TWSE:2357),628.5,573.4,563.7,410.1,848.4,1608.8,453.6
BorgWarner Inc. (NYSE:BWA),1511.2,1630,1729,1642,1509,2224,2242
Ciena Corporation (NYSE:CIEN),316.6,340.2,396.1,534.8,641.3,603,422.7
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",1055.2,894.8,868.2,944.7,1091.3,1031.8,1202.1
Alphabet Inc. (NasdaqGS:GOOGL),29816,35813,41624,47579,54903,91144,90771
"Intuitive Surgical, Inc. (NasdaqGS:ISRG)",1050.7,1157.9,1364.7,1574.5,1320.6,2128.4,1959
"Itron, Inc. (NasdaqGS:ITRI)",213.4,221.1,238.7,249.7,179.8,121,84.6
"Juniper Networks, Inc. (NYSE:JNPR)",1105.6,1136.1,790.1,687.8,633.5,667.8,757
Lam Research Corporation (NasdaqGS:LRCX),1607,2910.6,3387.2,2684.4,3708.3,5541,6382.8
Lear Corporation (NYSE:LEA),1840.6,2102.9,2200.7,1767.9,1133.3,1364.2,1391.7
"Mattel, Inc. (NasdaqGS:MAT)",813.8,-69.6,27.4,313.9,573.3,932.7,885.3
Medtronic plc (NYSE:MDT),9070,9076,9477,9702,6585,9613,8448
Mettler-Toledo International Inc. (NYSE:MTD),588.2,659,740.9,787.5,854.3,1073.8,1216.5
"AMETEK, Inc. (NYSE:AME)",1007.2,1068.2,1261.6,1411.4,1283.2,1600.8,1820.1
NEC Corporation (TSE:6701),995,1119.6,1104.1,1572.8,1307.9,1123.4,2167.4
"NetApp, Inc. (NasdaqGS:NTAP)",768,1043,1342,1120,1080,1363,1330
Textron Inc. (NYSE:TXT),1586,1484,1585,1576,1020,1395,1507
Westinghouse Air Brake Technologies Corporation (NYSE:WAB),535.9,576.1,591.7,1055,1256,1404,1496
Waters Corporation (NYSE:WAT),725,784,799.6,822.1,778,958.4,1014.1
"Samsung Electronics Co., Ltd. (KOSE:A005930)",36251.6,55311.3,62584.2,41479.3,47843.5,62496.3,59886.4
Vantiva S.A. (ENXTPA:VANTI),330,306.7,231.6,215.8,80.4,99.4,112.1
Sirius XM Holdings Inc. (NasdaqGS:SIRI),1747,1985,2100,2199,2368,2568,2636
"Teradyne, Inc. (NasdaqGS:TER)",420.6,648,603.7,650.4,1023.9,1334.9,981.6
Thermo Fisher Scientific Inc. (NYSE:TMO),4553,5254,6147,6463,10192,12964,11968
Northrop Grumman Corporation (NYSE:NOC),3394,4928,5003,4234,5496,8734,7680
"Motorola Solutions, Inc. (NYSE:MSI)",1542,1678,1838,2121,1932,2288,2504
Xerox Holdings Corporation (NasdaqGS:XRX),1509,1346,1340,1500,656,661,449
"Elitegroup Computer Systems Co.,Ltd. (TWSE:2331)",-37.7,13.8,3.5,14.4,14.4,5.8,24.6
International Business Machines Corporation (NYSE:IBM),18551,16223,17698,13598,11357,12189,12369
Spectris plc (LSE:SXS),281.9,302.3,315.5,198.4,70.9,242.9,272.4
Atos SE (ENXTPA:ATO),1493.2,1718.7,1308.3,1501.9,1314.6,-362.8,675.8
Johnson & Johnson (NYSE:JNJ),24919,24539,28104,28272,27498,32541,32717
"Hitachi, Ltd. (TSE:6501)",6883.6,7114.9,5768.9,5510.6,9891.1,6218.6,6753.5
"Agilent Technologies, Inc. (NYSE:A)",984,1124,1234,1273,1457,1780,2024
RTX Corporation (NYSE:RTX),10040,10285,5544,8443,5921,11032,11324
NCR Voyix Corporation (NYSE:VYX),858,919,818,714,383,1069,1037
Dover Corporation (NYSE:DOV),981.2,1146.4,1184.2,1330,1262.9,1601,1724.5
Eaton Corporation plc (NYSE:ETN),3176,3418,3875,3741,2597,3442,3982
General Electric Company (NYSE:GE),16945,850,12865,7094,2832,5713,7630
"L3Harris Technologies, Inc. (NYSE:LHX)",1425,1350,1519,3245,3025,3063,2867
Koninklijke Philips N.V. (ENXTAM:PHIA),2500.3,2588,2908.5,2775.3,2910.6,1510.3,707.6
Canon Inc. (TSE:7751),3195.2,4184.6,4074,2829.6,2347.5,3483.9,4041.6
