Company,Year,Value
ABB Ltd (SWX:ABBN),2016,17270.0
ABB Ltd (SWX:ABBN),2017,17278.0
ABB Ltd (SWX:ABBN),2018,19059.0
ABB Ltd (SWX:ABBN),2019,19018.0
ABB Ltd (SWX:ABBN),2020,18123.0
ABB Ltd (SWX:ABBN),2021,19407.0
ABB Ltd (SWX:ABBN),2022,19712.0
ABB Ltd (SWX:ABBN),2023,20073.571428570547
ABB Ltd (SWX:ABBN),2024,20453.857142856228
ABB Ltd (SWX:ABBN),2025,20834.14285714191
ABB Ltd (SWX:ABBN),2026,21214.428571427707
ABB Ltd (SWX:ABBN),2027,21594.714285713388
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2016,17663.0
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2017,18121.0
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2018,19225.0
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2019,18575.0
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2020,17206.0
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2021,18918.0
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2022,20242.0
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2023,4047.1585714283283
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2024,4251.738928571169
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2025,4456.319285714009
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2026,4660.89964285685
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2027,4865.47999999969
Intel Corporation (NasdaqGS:INTC),2016,22767.0
Intel Corporation (NasdaqGS:INTC),2017,23663.0
Intel Corporation (NasdaqGS:INTC),2018,27111.0
Intel Corporation (NasdaqGS:INTC),2019,29825.0
Intel Corporation (NasdaqGS:INTC),2020,34255.0
Intel Corporation (NasdaqGS:INTC),2021,35209.0
Intel Corporation (NasdaqGS:INTC),2022,36188.0
Intel Corporation (NasdaqGS:INTC),2023,11603.825714285485
Intel Corporation (NasdaqGS:INTC),2024,12707.399642856792
Intel Corporation (NasdaqGS:INTC),2025,13810.973571428098
Intel Corporation (NasdaqGS:INTC),2026,14914.54749999987
Intel Corporation (NasdaqGS:INTC),2027,16018.121428571176
Kyocera Corporation (TSE:6971),2016,6945.44
Kyocera Corporation (TSE:6971),2017,7520.28
Kyocera Corporation (TSE:6971),2018,8239.57
Kyocera Corporation (TSE:6971),2019,7702.25
Kyocera Corporation (TSE:6971),2020,7392.65
Kyocera Corporation (TSE:6971),2021,8551.53
Kyocera Corporation (TSE:6971),2022,9614.2
Kyocera Corporation (TSE:6971),2023,13105.228571428102
Kyocera Corporation (TSE:6971),2024,13559.10857142799
Kyocera Corporation (TSE:6971),2025,14012.988571427879
Kyocera Corporation (TSE:6971),2026,14466.868571427884
Kyocera Corporation (TSE:6971),2027,14920.748571427772
Microsoft Corporation (NasdaqGS:MSFT),2016,33446.0
Microsoft Corporation (NasdaqGS:MSFT),2017,35447.0
Microsoft Corporation (NasdaqGS:MSFT),2018,41339.0
Microsoft Corporation (NasdaqGS:MSFT),2019,43346.0
Microsoft Corporation (NasdaqGS:MSFT),2020,48510.0
Microsoft Corporation (NasdaqGS:MSFT),2021,57642.0
Microsoft Corporation (NasdaqGS:MSFT),2022,64984.0
Microsoft Corporation (NasdaqGS:MSFT),2023,7569.5299999999115
Microsoft Corporation (NasdaqGS:MSFT),2024,7371.533571428503
Microsoft Corporation (NasdaqGS:MSFT),2025,7173.537142857094
Microsoft Corporation (NasdaqGS:MSFT),2026,6975.540714285686
Microsoft Corporation (NasdaqGS:MSFT),2027,6777.544285714277
Oracle Corporation (NYSE:ORCL),2016,7349.0
Oracle Corporation (NYSE:ORCL),2017,7785.0
Oracle Corporation (NYSE:ORCL),2018,8127.0
Oracle Corporation (NYSE:ORCL),2019,8044.0
Oracle Corporation (NYSE:ORCL),2020,7752.0
Oracle Corporation (NYSE:ORCL),2021,8297.0
Oracle Corporation (NYSE:ORCL),2022,11011.0
Oracle Corporation (NYSE:ORCL),2023,20539.285714285914
Oracle Corporation (NYSE:ORCL),2024,22156.357142857276
Oracle Corporation (NYSE:ORCL),2025,23773.428571428638
Oracle Corporation (NYSE:ORCL),2026,25390.499999999534
Oracle Corporation (NYSE:ORCL),2027,27007.571428570896
"Roper Technologies, Inc. (NasdaqGS:ROP)",2016,1457.5
"Roper Technologies, Inc. (NasdaqGS:ROP)",2017,1742.7
"Roper Technologies, Inc. (NasdaqGS:ROP)",2018,1911.7
"Roper Technologies, Inc. (NasdaqGS:ROP)",2019,1587.6
"Roper Technologies, Inc. (NasdaqGS:ROP)",2020,1194.1
"Roper Technologies, Inc. (NasdaqGS:ROP)",2021,1426.2
"Roper Technologies, Inc. (NasdaqGS:ROP)",2022,1619.0
"Roper Technologies, Inc. (NasdaqGS:ROP)",2023,8383.69999999972
"Roper Technologies, Inc. (NasdaqGS:ROP)",2024,8691.18392857106
"Roper Technologies, Inc. (NasdaqGS:ROP)",2025,8998.667857142515
"Roper Technologies, Inc. (NasdaqGS:ROP)",2026,9306.15178571397
"Roper Technologies, Inc. (NasdaqGS:ROP)",2027,9613.635714285308
Sony Group Corporation (TSE:6758),2016,31627.19
Sony Group Corporation (TSE:6758),2017,34361.46
Sony Group Corporation (TSE:6758),2018,34337.33
Sony Group Corporation (TSE:6758),2019,32444.22
Sony Group Corporation (TSE:6758),2020,32458.49
Sony Group Corporation (TSE:6758),2021,38195.12
Sony Group Corporation (TSE:6758),2022,44606.35
Sony Group Corporation (TSE:6758),2023,12337.000000000233
Sony Group Corporation (TSE:6758),2024,11846.250000000233
Sony Group Corporation (TSE:6758),2025,11355.50000000035
Sony Group Corporation (TSE:6758),2026,10864.75000000035
Sony Group Corporation (TSE:6758),2027,10374.00000000035
Thales S.A. (ENXTPA:HO),2016,11925.75
Thales S.A. (ENXTPA:HO),2017,12179.48
Thales S.A. (ENXTPA:HO),2018,12553.46
Thales S.A. (ENXTPA:HO),2019,14677.21
Thales S.A. (ENXTPA:HO),2020,12470.86
Thales S.A. (ENXTPA:HO),2021,12859.76
Thales S.A. (ENXTPA:HO),2022,13814.6
Thales S.A. (ENXTPA:HO),2023,1503.4557142857811
Thales S.A. (ENXTPA:HO),2024,1657.4467857143027
Thales S.A. (ENXTPA:HO),2025,1811.4378571428824
Thales S.A. (ENXTPA:HO),2026,1965.4289285714622
Thales S.A. (ENXTPA:HO),2027,2119.4199999999837
Apple Inc. (NasdaqGS:AAPL),2016,134102.0
Apple Inc. (NasdaqGS:AAPL),2017,147254.0
Apple Inc. (NasdaqGS:AAPL),2018,161654.0
Apple Inc. (NasdaqGS:AAPL),2019,166105.0
Apple Inc. (NasdaqGS:AAPL),2020,180068.0
Apple Inc. (NasdaqGS:AAPL),2021,215572.0
Apple Inc. (NasdaqGS:AAPL),2022,220666.0
Apple Inc. (NasdaqGS:AAPL),2023,1198.4585714285786
Apple Inc. (NasdaqGS:AAPL),2024,1120.9485714285984
Apple Inc. (NasdaqGS:AAPL),2025,1043.438571428589
Apple Inc. (NasdaqGS:AAPL),2026,965.9285714286088
Apple Inc. (NasdaqGS:AAPL),2027,888.4185714285995
ASUSTeK Computer Inc. (TWSE:2357),2016,12367.64
ASUSTeK Computer Inc. (TWSE:2357),2017,10235.47
ASUSTeK Computer Inc. (TWSE:2357),2018,9329.51
ASUSTeK Computer Inc. (TWSE:2357),2019,9195.79
ASUSTeK Computer Inc. (TWSE:2357),2020,10483.64
ASUSTeK Computer Inc. (TWSE:2357),2021,13119.36
ASUSTeK Computer Inc. (TWSE:2357),2022,14296.55
ASUSTeK Computer Inc. (TWSE:2357),2023,3277.714285714086
ASUSTeK Computer Inc. (TWSE:2357),2024,3472.249999999767
ASUSTeK Computer Inc. (TWSE:2357),2025,3666.785714285448
ASUSTeK Computer Inc. (TWSE:2357),2026,3861.3214285711874
ASUSTeK Computer Inc. (TWSE:2357),2027,4055.8571428568684
BorgWarner Inc. (NYSE:BWA),2016,7142.3
BorgWarner Inc. (NYSE:BWA),2017,7684.0
BorgWarner Inc. (NYSE:BWA),2018,8300.0
BorgWarner Inc. (NYSE:BWA),2019,8067.0
BorgWarner Inc. (NYSE:BWA),2020,8255.0
BorgWarner Inc. (NYSE:BWA),2021,11983.0
BorgWarner Inc. (NYSE:BWA),2022,12700.0
BorgWarner Inc. (NYSE:BWA),2023,44483.19000000134
BorgWarner Inc. (NYSE:BWA),2024,41882.90321428701
BorgWarner Inc. (NYSE:BWA),2025,39282.616428572685
BorgWarner Inc. (NYSE:BWA),2026,36682.329642858356
BorgWarner Inc. (NYSE:BWA),2027,34082.04285714403
Ciena Corporation (NYSE:CIEN),2016,1465.04
Ciena Corporation (NYSE:CIEN),2017,1582.56
Ciena Corporation (NYSE:CIEN),2018,1860.41
Ciena Corporation (NYSE:CIEN),2019,2037.26
