,Market,SubMarket
0,Industrial,Manufacturing Equipment
7,Industrial,Military/Aerospace
14,Industrial,Other Industrial
21,Industrial,Test & Measurement
210,Computer Peripherals & Storage,Other Peripherals
280,Industrial,Medical
455,Automotive,Auto Infotainment
462,Automotive,Other Auto & Aftermarket
476,Wireless Communications,Infrastructure
483,Wireless Communications,Other Wireless
630,Computer Platforms,Data Center Servers
637,Computer Platforms,Other Computer Products
644,Consumer,Other Consumer
658,Wireless Communications,Media Tablets
917,Computer Platforms,Desktop PCs
924,Computer Platforms,Notebook PCs
931,Consumer,Audio
938,Consumer,Connected Consumer
945,Consumer,STB
952,Wireless Communications,Handset
1330,Automotive,Auto ADAS
1540,Automotive,Auto Powertrain
1722,Industrial,Power & Energy
2065,Consumer,Appliance
2170,Wired Communications,Carrier
2177,Wired Communications,Enterprise/SOHO
2184,Wired Communications,Other Wired
2373,Wired Communications,DC Network & Threat Mitigation
3080,Computer Peripherals & Storage,Flash Cards/Drives
3094,Computer Peripherals & Storage,Other Storage
3129,Computer Platforms,Tablet PCs
3514,Consumer,TV
6314,Computer Peripherals & Storage,Smart Cards
11025,Consumer,Video Games
13419,Computer Peripherals & Storage,HDD
