Company,Year,Revenue
ABB Ltd (SWX:ABBN),2016,24929
ABB Ltd (SWX:ABBN),2017,25196
ABB Ltd (SWX:ABBN),2018,27662
ABB Ltd (SWX:ABBN),2019,27978
ABB Ltd (SWX:ABBN),2020,26134
ABB Ltd (SWX:ABBN),2021,28945
ABB Ltd (SWX:ABBN),2022,29446
ABB Ltd (SWX:ABBN),2023,32174.52
ABB Ltd (SWX:ABBN),2024,32970.35
ABB Ltd (SWX:ABBN),2025,34510.78
ABB Ltd (SWX:ABBN),2026,36835
ABB Ltd (SWX:ABBN),2027,38700.25
"Amazon.com, Inc. (NasdaqGS:AMZN)",2016,135987
"Amazon.com, Inc. (NasdaqGS:AMZN)",2017,177866
"Amazon.com, Inc. (NasdaqGS:AMZN)",2018,232887
"Amazon.com, Inc. (NasdaqGS:AMZN)",2019,280522
"Amazon.com, Inc. (NasdaqGS:AMZN)",2020,386064
"Amazon.com, Inc. (NasdaqGS:AMZN)",2021,469822
"Amazon.com, Inc. (NasdaqGS:AMZN)",2022,513983
"Amazon.com, Inc. (NasdaqGS:AMZN)",2023,570309.44
"Amazon.com, Inc. (NasdaqGS:AMZN)",2024,635092.39
"Amazon.com, Inc. (NasdaqGS:AMZN)",2025,709648.49
"Amazon.com, Inc. (NasdaqGS:AMZN)",2026,791246.88
"Amazon.com, Inc. (NasdaqGS:AMZN)",2027,880276.69
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2016,48570
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2017,48096
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2018,50825
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2019,51550
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2020,48026
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2021,51549
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2022,53161
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2023,56805.15
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2024,57918.8
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2025,59292.33
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2026,60879.18
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2027,64254
Intel Corporation (NasdaqGS:INTC),2016,59387
Intel Corporation (NasdaqGS:INTC),2017,62761
Intel Corporation (NasdaqGS:INTC),2018,70848
Intel Corporation (NasdaqGS:INTC),2019,71965
Intel Corporation (NasdaqGS:INTC),2020,77867
Intel Corporation (NasdaqGS:INTC),2021,79024
Intel Corporation (NasdaqGS:INTC),2022,63054
Intel Corporation (NasdaqGS:INTC),2023,53759.07
Intel Corporation (NasdaqGS:INTC),2024,60727.03
Intel Corporation (NasdaqGS:INTC),2025,65743.63
Intel Corporation (NasdaqGS:INTC),2026,74040
Intel Corporation (NasdaqGS:INTC),2027,79779
Kyocera Corporation (TSE:6971),2016,9395.8
Kyocera Corporation (TSE:6971),2017,10414.5
Kyocera Corporation (TSE:6971),2018,11040.1
Kyocera Corporation (TSE:6971),2019,10770.1
Kyocera Corporation (TSE:6971),2020,10076.3
Kyocera Corporation (TSE:6971),2021,11949.3
Kyocera Corporation (TSE:6971),2022,13476.4
Kyocera Corporation (TSE:6971),2023,13419.54
Kyocera Corporation (TSE:6971),2024,13560.87
Kyocera Corporation (TSE:6971),2025,14163.88
Kyocera Corporation (TSE:6971),2026,14720.26
Kyocera Corporation (TSE:6971),2027,15586.76
Microsoft Corporation (NasdaqGS:MSFT),2016,88899
Microsoft Corporation (NasdaqGS:MSFT),2017,102273
